go_id	accession	type	name	definition
61721	Go.6369	GO Type 03	drvryf	Definition of drvryf
70416	Go.3960	GO Type 03	ykfvts	Definition of ykfvts
34018	Go.3527	GO Type 01	breata	Definition of breata
11557	Go.1077	GO Type 01	feletc	Definition of feletc
71485	Go.2719	GO Type 03	hykdwg	Definition of hykdwg
21421	Go.4207	GO Type 02	vksdtk	Definition of vksdtk
41733	Go.8512	GO Type 01	btyvny	Definition of btyvny
29874	Go.7732	GO Type 02	qsvssk	Definition of qsvssk
44307	Go.3563	GO Type 03	hzpeag	Definition of hzpeag
33983	Go.2590	GO Type 01	huyafp	Definition of huyafp
97174	Go.7813	GO Type 02	nfzjpm	Definition of nfzjpm
61539	Go.520	GO Type 01	pqairi	Definition of pqairi
42672	Go.1920	GO Type 01	mxevqo	Definition of mxevqo
46454	Go.9949	GO Type 03	bwsjpe	Definition of bwsjpe
695	Go.5622	GO Type 01	pboubk	Definition of pboubk
48930	Go.8612	GO Type 01	qkhybq	Definition of qkhybq
77789	Go.135	GO Type 02	btesdw	Definition of btesdw
5454	Go.3567	GO Type 03	rjbnpb	Definition of rjbnpb
90429	Go.4671	GO Type 03	vjzigo	Definition of vjzigo
22897	Go.8985	GO Type 03	kdviis	Definition of kdviis
46131	Go.6077	GO Type 03	dsqtgi	Definition of dsqtgi
72799	Go.9742	GO Type 02	gwusek	Definition of gwusek
73895	Go.2060	GO Type 02	cogxtu	Definition of cogxtu
97050	Go.3145	GO Type 03	sxknkx	Definition of sxknkx
10422	Go.4066	GO Type 02	slwaxx	Definition of slwaxx
63719	Go.6489	GO Type 01	nyyzoc	Definition of nyyzoc
39190	Go.6974	GO Type 03	wrmwki	Definition of wrmwki
28874	Go.1238	GO Type 01	qyvukw	Definition of qyvukw
7386	Go.3740	GO Type 01	vlemmn	Definition of vlemmn
57023	Go.2485	GO Type 02	apmciu	Definition of apmciu
92132	Go.4519	GO Type 02	ypoylg	Definition of ypoylg
33840	Go.9689	GO Type 01	kylkur	Definition of kylkur
94235	Go.5715	GO Type 03	meiumn	Definition of meiumn
34932	Go.3751	GO Type 01	biqcik	Definition of biqcik
81591	Go.9683	GO Type 02	snnzkn	Definition of snnzkn
42685	Go.1596	GO Type 03	njvmkg	Definition of njvmkg
30534	Go.898	GO Type 03	pldayx	Definition of pldayx
96702	Go.1682	GO Type 01	rnnewf	Definition of rnnewf
42957	Go.4632	GO Type 03	cyfnfj	Definition of cyfnfj
70852	Go.6280	GO Type 03	wrbolq	Definition of wrbolq
94861	Go.6975	GO Type 01	hrwogl	Definition of hrwogl
11143	Go.4016	GO Type 02	swsnpf	Definition of swsnpf
5394	Go.7918	GO Type 02	ngvwfo	Definition of ngvwfo
2636	Go.4214	GO Type 02	ormood	Definition of ormood
85297	Go.674	GO Type 03	seyugf	Definition of seyugf
57231	Go.2968	GO Type 01	wksaqm	Definition of wksaqm
17583	Go.7218	GO Type 03	cthtfs	Definition of cthtfs
80668	Go.3768	GO Type 01	dueowv	Definition of dueowv
75388	Go.4797	GO Type 03	dkgxes	Definition of dkgxes
78928	Go.1674	GO Type 02	tymapi	Definition of tymapi
835	Go.9969	GO Type 01	ocyaln	Definition of ocyaln
75600	Go.8999	GO Type 02	mhllxq	Definition of mhllxq
46178	Go.4959	GO Type 01	xgyque	Definition of xgyque
82316	Go.7822	GO Type 02	vgagop	Definition of vgagop
73002	Go.109	GO Type 03	fnbntc	Definition of fnbntc
48681	Go.4978	GO Type 03	xphwvr	Definition of xphwvr
1755	Go.560	GO Type 03	rkselw	Definition of rkselw
60804	Go.3113	GO Type 01	mmvlda	Definition of mmvlda
34326	Go.2103	GO Type 02	degxlg	Definition of degxlg
51167	Go.6548	GO Type 02	fodwgp	Definition of fodwgp
18758	Go.5678	GO Type 02	glovzk	Definition of glovzk
99634	Go.3232	GO Type 03	eindnm	Definition of eindnm
64590	Go.621	GO Type 02	eicijp	Definition of eicijp
22460	Go.5281	GO Type 02	rudtlu	Definition of rudtlu
83945	Go.8426	GO Type 01	qjbuux	Definition of qjbuux
79878	Go.1040	GO Type 02	gjhpmg	Definition of gjhpmg
87666	Go.5097	GO Type 02	wpsibe	Definition of wpsibe
12962	Go.6237	GO Type 03	axxwes	Definition of axxwes
99135	Go.1397	GO Type 01	dreazl	Definition of dreazl
78629	Go.9315	GO Type 01	dhmklh	Definition of dhmklh
29862	Go.3644	GO Type 01	mmfkqk	Definition of mmfkqk
91485	Go.2502	GO Type 03	puxgae	Definition of puxgae
487	Go.3475	GO Type 02	ltozgg	Definition of ltozgg
27997	Go.2768	GO Type 01	iebkln	Definition of iebkln
49990	Go.6137	GO Type 01	hhgexo	Definition of hhgexo
41322	Go.7454	GO Type 03	ivasbo	Definition of ivasbo
73898	Go.9772	GO Type 01	lbgkzw	Definition of lbgkzw
75387	Go.4034	GO Type 01	jxfjhc	Definition of jxfjhc
61635	Go.763	GO Type 02	etnrjy	Definition of etnrjy
13146	Go.6092	GO Type 01	ridgee	Definition of ridgee
59342	Go.8335	GO Type 03	moaahr	Definition of moaahr
26576	Go.8727	GO Type 03	ahxukv	Definition of ahxukv
61739	Go.8317	GO Type 02	dcjngf	Definition of dcjngf
3177	Go.3745	GO Type 02	wspbzl	Definition of wspbzl
3123	Go.6043	GO Type 02	hvelba	Definition of hvelba
11533	Go.3859	GO Type 03	blgvad	Definition of blgvad
71445	Go.9004	GO Type 01	ykgpms	Definition of ykgpms
45798	Go.7148	GO Type 02	pvuhwi	Definition of pvuhwi
45023	Go.5098	GO Type 03	amtyvo	Definition of amtyvo
26164	Go.6628	GO Type 01	pxhuet	Definition of pxhuet
34770	Go.9301	GO Type 03	ivkrwr	Definition of ivkrwr
86696	Go.5959	GO Type 03	nepuxn	Definition of nepuxn
88886	Go.5759	GO Type 03	gkjdcj	Definition of gkjdcj
8822	Go.6562	GO Type 01	wfffqq	Definition of wfffqq
47708	Go.9460	GO Type 02	vgdxdq	Definition of vgdxdq
1119	Go.2993	GO Type 01	cxowco	Definition of cxowco
7504	Go.5755	GO Type 02	jyglem	Definition of jyglem
41296	Go.4323	GO Type 01	vdmakg	Definition of vdmakg
29467	Go.1392	GO Type 02	ntzelt	Definition of ntzelt
69350	Go.962	GO Type 01	fhiwzf	Definition of fhiwzf
5489	Go.8437	GO Type 01	xawmfy	Definition of xawmfy
40379	Go.6358	GO Type 02	kmwbhk	Definition of kmwbhk
58575	Go.8914	GO Type 01	myxhoi	Definition of myxhoi
40183	Go.717	GO Type 01	swssuw	Definition of swssuw
49665	Go.2724	GO Type 01	pdovhu	Definition of pdovhu
33606	Go.3202	GO Type 03	rplfyu	Definition of rplfyu
92843	Go.8392	GO Type 02	hylrcw	Definition of hylrcw
60607	Go.1893	GO Type 02	lhlllu	Definition of lhlllu
46348	Go.6470	GO Type 03	wvddtk	Definition of wvddtk
6782	Go.8716	GO Type 02	ojrcol	Definition of ojrcol
13359	Go.3682	GO Type 03	nyfmty	Definition of nyfmty
818	Go.1771	GO Type 01	tydkxc	Definition of tydkxc
50771	Go.5937	GO Type 02	nzmbax	Definition of nzmbax
94816	Go.3500	GO Type 02	dsyaiz	Definition of dsyaiz
48486	Go.8446	GO Type 03	mmqdcn	Definition of mmqdcn
58379	Go.7098	GO Type 01	qffcdh	Definition of qffcdh
47186	Go.7990	GO Type 01	vyzdjm	Definition of vyzdjm
55716	Go.9478	GO Type 03	qlxtlz	Definition of qlxtlz
85305	Go.2002	GO Type 03	ptmitj	Definition of ptmitj
29875	Go.4245	GO Type 03	voctah	Definition of voctah
59249	Go.1032	GO Type 01	lvbkgr	Definition of lvbkgr
37188	Go.6386	GO Type 01	nwhjcc	Definition of nwhjcc
40393	Go.624	GO Type 02	bxeqjc	Definition of bxeqjc
64735	Go.7892	GO Type 02	ucblpx	Definition of ucblpx
69244	Go.5700	GO Type 02	nwqeds	Definition of nwqeds
13093	Go.3731	GO Type 03	kyeyon	Definition of kyeyon
73928	Go.9733	GO Type 03	djplut	Definition of djplut
42016	Go.252	GO Type 01	prmmyy	Definition of prmmyy
11713	Go.8347	GO Type 01	prvaop	Definition of prvaop
77978	Go.9378	GO Type 01	glqjhd	Definition of glqjhd
16281	Go.2192	GO Type 01	dykpuu	Definition of dykpuu
90524	Go.6432	GO Type 01	genpgq	Definition of genpgq
69899	Go.6345	GO Type 02	ymjieq	Definition of ymjieq
75208	Go.4577	GO Type 03	gliguv	Definition of gliguv
32258	Go.8764	GO Type 01	hjtgkq	Definition of hjtgkq
33517	Go.1885	GO Type 02	mxqhxx	Definition of mxqhxx
95081	Go.417	GO Type 01	glcfwo	Definition of glcfwo
8271	Go.8172	GO Type 02	yoxksv	Definition of yoxksv
4143	Go.8220	GO Type 01	cirsvr	Definition of cirsvr
94081	Go.9857	GO Type 03	vubalo	Definition of vubalo
55805	Go.6432	GO Type 01	vxphrx	Definition of vxphrx
18727	Go.9341	GO Type 02	eboxav	Definition of eboxav
84563	Go.4937	GO Type 03	zxqalu	Definition of zxqalu
44397	Go.6842	GO Type 03	tplsqp	Definition of tplsqp
86336	Go.6894	GO Type 03	qtriue	Definition of qtriue
24276	Go.436	GO Type 03	gjsvvl	Definition of gjsvvl
52659	Go.636	GO Type 03	quezwn	Definition of quezwn
44462	Go.8165	GO Type 03	pkermp	Definition of pkermp
23674	Go.8540	GO Type 03	foxgtf	Definition of foxgtf
87946	Go.4442	GO Type 01	ufhxln	Definition of ufhxln
41849	Go.7019	GO Type 01	vogszj	Definition of vogszj
54542	Go.5196	GO Type 02	qrfhev	Definition of qrfhev
98985	Go.8078	GO Type 02	yadtin	Definition of yadtin
83529	Go.3125	GO Type 02	yylkqe	Definition of yylkqe
92648	Go.4248	GO Type 01	pbyrza	Definition of pbyrza
33182	Go.5909	GO Type 01	bsjwkq	Definition of bsjwkq
31672	Go.7424	GO Type 02	tcacqj	Definition of tcacqj
42992	Go.5694	GO Type 03	iucvig	Definition of iucvig
36339	Go.7592	GO Type 01	enxfju	Definition of enxfju
31366	Go.2259	GO Type 01	duxlat	Definition of duxlat
57201	Go.5498	GO Type 03	lloxcg	Definition of lloxcg
40032	Go.8251	GO Type 01	aeiwxr	Definition of aeiwxr
49766	Go.8285	GO Type 03	dzylar	Definition of dzylar
77363	Go.9101	GO Type 01	cndkin	Definition of cndkin
22802	Go.7647	GO Type 01	nosaod	Definition of nosaod
18605	Go.2344	GO Type 03	rzzybm	Definition of rzzybm
65082	Go.7424	GO Type 03	fmlcfu	Definition of fmlcfu
81222	Go.5797	GO Type 02	fdwmzd	Definition of fdwmzd
16041	Go.8678	GO Type 01	ibugfq	Definition of ibugfq
2994	Go.2908	GO Type 02	mxgfzk	Definition of mxgfzk
46823	Go.3926	GO Type 02	pkbers	Definition of pkbers
44845	Go.9075	GO Type 02	xuzlda	Definition of xuzlda
73967	Go.1889	GO Type 02	bcaatl	Definition of bcaatl
6955	Go.3632	GO Type 01	gocffw	Definition of gocffw
45108	Go.2778	GO Type 02	uravmm	Definition of uravmm
98623	Go.5904	GO Type 02	qtatja	Definition of qtatja
69388	Go.5093	GO Type 03	voeihm	Definition of voeihm
27068	Go.8447	GO Type 01	mxxqxn	Definition of mxxqxn
82322	Go.9051	GO Type 02	qeyaig	Definition of qeyaig
86020	Go.456	GO Type 02	bsnpsu	Definition of bsnpsu
65361	Go.2530	GO Type 01	oialng	Definition of oialng
92402	Go.9273	GO Type 02	fnxfog	Definition of fnxfog
74917	Go.5161	GO Type 03	adtluz	Definition of adtluz
77279	Go.8272	GO Type 01	dpurnd	Definition of dpurnd
53274	Go.5009	GO Type 02	gvtliu	Definition of gvtliu
14148	Go.3548	GO Type 03	cfhnef	Definition of cfhnef
88824	Go.7343	GO Type 02	onfxto	Definition of onfxto
45227	Go.2593	GO Type 02	nbxgco	Definition of nbxgco
79668	Go.457	GO Type 02	fkbixr	Definition of fkbixr
57451	Go.5808	GO Type 01	sjuifs	Definition of sjuifs
28995	Go.5462	GO Type 03	ypaqja	Definition of ypaqja
73235	Go.2714	GO Type 02	mkhzom	Definition of mkhzom
8810	Go.9494	GO Type 03	hfyept	Definition of hfyept
4547	Go.9427	GO Type 01	cmnkgh	Definition of cmnkgh
7746	Go.3162	GO Type 03	srpwyv	Definition of srpwyv
2579	Go.5274	GO Type 01	ajcavm	Definition of ajcavm
4057	Go.7226	GO Type 03	obnlhj	Definition of obnlhj
72640	Go.5106	GO Type 02	ozfzwx	Definition of ozfzwx
69203	Go.3862	GO Type 01	tzfjoo	Definition of tzfjoo
87824	Go.9066	GO Type 03	adavpc	Definition of adavpc
21357	Go.190	GO Type 02	zpmmqp	Definition of zpmmqp
93571	Go.7348	GO Type 02	ywaufb	Definition of ywaufb
44081	Go.833	GO Type 03	guhhve	Definition of guhhve
30739	Go.1593	GO Type 01	qqbucd	Definition of qqbucd
1704	Go.4127	GO Type 03	hvnhxs	Definition of hvnhxs
37005	Go.68	GO Type 03	vbdbhe	Definition of vbdbhe
33729	Go.5359	GO Type 02	swgrel	Definition of swgrel
60967	Go.3540	GO Type 02	ztxaky	Definition of ztxaky
63935	Go.6964	GO Type 01	bhbgdf	Definition of bhbgdf
46260	Go.7710	GO Type 01	hmccrw	Definition of hmccrw
73343	Go.7468	GO Type 03	eqvnta	Definition of eqvnta
90340	Go.3890	GO Type 01	kolegs	Definition of kolegs
27782	Go.3330	GO Type 01	xjocbi	Definition of xjocbi
15679	Go.6044	GO Type 01	dnpbtd	Definition of dnpbtd
54286	Go.9609	GO Type 03	znqjnz	Definition of znqjnz
91520	Go.5920	GO Type 01	mvmgfr	Definition of mvmgfr
32957	Go.8623	GO Type 01	gpemhe	Definition of gpemhe
99519	Go.4534	GO Type 02	xgwyvv	Definition of xgwyvv
31904	Go.3660	GO Type 03	zdugeu	Definition of zdugeu
2255	Go.2910	GO Type 02	xbbiqn	Definition of xbbiqn
57960	Go.9769	GO Type 01	owiwea	Definition of owiwea
87346	Go.627	GO Type 02	vtdcwt	Definition of vtdcwt
74868	Go.5384	GO Type 02	mthigx	Definition of mthigx
50066	Go.533	GO Type 03	sxbiun	Definition of sxbiun
71095	Go.5461	GO Type 03	jtcjar	Definition of jtcjar
614	Go.9010	GO Type 01	whiiuz	Definition of whiiuz
98957	Go.3241	GO Type 01	kisrfv	Definition of kisrfv
46207	Go.8399	GO Type 03	ejtytx	Definition of ejtytx
82144	Go.8724	GO Type 02	duviyt	Definition of duviyt
32843	Go.3916	GO Type 03	xtngkg	Definition of xtngkg
43667	Go.9952	GO Type 03	dcrfkl	Definition of dcrfkl
74850	Go.7977	GO Type 01	wekemd	Definition of wekemd
50196	Go.1374	GO Type 03	lvthyt	Definition of lvthyt
78256	Go.2517	GO Type 01	osknlb	Definition of osknlb
7761	Go.3809	GO Type 02	smhjcj	Definition of smhjcj
82877	Go.1708	GO Type 03	tapizf	Definition of tapizf
86843	Go.4466	GO Type 01	zcisbq	Definition of zcisbq
32128	Go.6986	GO Type 02	hzzhnf	Definition of hzzhnf
21874	Go.6909	GO Type 02	rtutme	Definition of rtutme
91654	Go.9696	GO Type 01	csaqcx	Definition of csaqcx
62673	Go.7684	GO Type 03	ouxugz	Definition of ouxugz
76463	Go.797	GO Type 03	mqydis	Definition of mqydis
54415	Go.6858	GO Type 01	iaagur	Definition of iaagur
67209	Go.3717	GO Type 01	qttfuz	Definition of qttfuz
20598	Go.6542	GO Type 03	echdmd	Definition of echdmd
39952	Go.3214	GO Type 03	lmeuon	Definition of lmeuon
82687	Go.475	GO Type 03	qpbnhe	Definition of qpbnhe
47472	Go.6212	GO Type 01	nizszq	Definition of nizszq
48404	Go.9612	GO Type 02	yqdqus	Definition of yqdqus
95002	Go.8619	GO Type 02	lfnzxj	Definition of lfnzxj
19865	Go.4589	GO Type 02	gkovhw	Definition of gkovhw
80393	Go.1011	GO Type 03	jsnbsr	Definition of jsnbsr
32558	Go.1362	GO Type 03	ipnfhs	Definition of ipnfhs
11970	Go.237	GO Type 02	suceej	Definition of suceej
83546	Go.5748	GO Type 02	ncmzdy	Definition of ncmzdy
20377	Go.1015	GO Type 03	hpdjbu	Definition of hpdjbu
72465	Go.8050	GO Type 01	ydqqcx	Definition of ydqqcx
81077	Go.4286	GO Type 02	nquhhe	Definition of nquhhe
3189	Go.7300	GO Type 03	sknxja	Definition of sknxja
6713	Go.6189	GO Type 02	zfirgx	Definition of zfirgx
22707	Go.7840	GO Type 01	trbhqc	Definition of trbhqc
33918	Go.6214	GO Type 03	ezbqhh	Definition of ezbqhh
24964	Go.7853	GO Type 03	rkqprj	Definition of rkqprj
25774	Go.1713	GO Type 02	pwurrj	Definition of pwurrj
37158	Go.3478	GO Type 03	zamxij	Definition of zamxij
41197	Go.8037	GO Type 02	adenlg	Definition of adenlg
81430	Go.2092	GO Type 01	iwotvf	Definition of iwotvf
95940	Go.6949	GO Type 03	yxunxi	Definition of yxunxi
28336	Go.4613	GO Type 03	hxekyh	Definition of hxekyh
26653	Go.939	GO Type 01	osxddc	Definition of osxddc
97479	Go.580	GO Type 03	hkkrxx	Definition of hkkrxx
56263	Go.8721	GO Type 01	miysuy	Definition of miysuy
68179	Go.7504	GO Type 02	rylrij	Definition of rylrij
4243	Go.5754	GO Type 01	kzzkcl	Definition of kzzkcl
83951	Go.8878	GO Type 02	evgafj	Definition of evgafj
49896	Go.786	GO Type 01	htpqhr	Definition of htpqhr
95062	Go.2824	GO Type 03	ngjhrh	Definition of ngjhrh
58616	Go.5232	GO Type 02	kctney	Definition of kctney
70763	Go.6675	GO Type 03	lmknih	Definition of lmknih
67669	Go.1681	GO Type 02	exhqvq	Definition of exhqvq
39793	Go.245	GO Type 01	smcimb	Definition of smcimb
40979	Go.7248	GO Type 02	nllark	Definition of nllark
10083	Go.7312	GO Type 03	pkgwdk	Definition of pkgwdk
65352	Go.6453	GO Type 03	nwoozs	Definition of nwoozs
29437	Go.3369	GO Type 01	ndngnm	Definition of ndngnm
65731	Go.6379	GO Type 02	avcjeg	Definition of avcjeg
81569	Go.5882	GO Type 03	bupivu	Definition of bupivu
1083	Go.9934	GO Type 03	ricquc	Definition of ricquc
36249	Go.7589	GO Type 02	watmzf	Definition of watmzf
1358	Go.4771	GO Type 03	jwrtnq	Definition of jwrtnq
5299	Go.6409	GO Type 02	iaguze	Definition of iaguze
86939	Go.2460	GO Type 01	qvriph	Definition of qvriph
47181	Go.9637	GO Type 01	bhqkih	Definition of bhqkih
89303	Go.9679	GO Type 01	kdxzcv	Definition of kdxzcv
43846	Go.8651	GO Type 03	yeogpc	Definition of yeogpc
53561	Go.1028	GO Type 02	echzep	Definition of echzep
4512	Go.9671	GO Type 03	cykxnf	Definition of cykxnf
51700	Go.1584	GO Type 03	fppfql	Definition of fppfql
67885	Go.4645	GO Type 03	mdxtcl	Definition of mdxtcl
48960	Go.4777	GO Type 01	bjbqsh	Definition of bjbqsh
16498	Go.2872	GO Type 02	mxbkzk	Definition of mxbkzk
47019	Go.4849	GO Type 03	htkqit	Definition of htkqit
69336	Go.9468	GO Type 03	tahgij	Definition of tahgij
12711	Go.6610	GO Type 03	tnkxzy	Definition of tnkxzy
19795	Go.4845	GO Type 02	lnymoh	Definition of lnymoh
17034	Go.2440	GO Type 02	oadkvx	Definition of oadkvx
65719	Go.2510	GO Type 03	pjwdsy	Definition of pjwdsy
40154	Go.537	GO Type 03	unyrcs	Definition of unyrcs
44470	Go.7522	GO Type 01	upjrrs	Definition of upjrrs
97511	Go.788	GO Type 02	gyjhkj	Definition of gyjhkj
71395	Go.7516	GO Type 02	bljibe	Definition of bljibe
1398	Go.181	GO Type 03	nqqvuo	Definition of nqqvuo
59216	Go.5584	GO Type 03	byyhef	Definition of byyhef
45844	Go.9359	GO Type 01	doapsz	Definition of doapsz
15488	Go.9192	GO Type 03	lnvtxj	Definition of lnvtxj
49333	Go.7907	GO Type 03	hrrdjp	Definition of hrrdjp
30214	Go.8157	GO Type 03	ojjgpg	Definition of ojjgpg
49279	Go.1784	GO Type 01	mnusdk	Definition of mnusdk
27831	Go.2094	GO Type 02	gfwjhl	Definition of gfwjhl
61133	Go.3095	GO Type 03	nhubri	Definition of nhubri
41988	Go.180	GO Type 02	ggtran	Definition of ggtran
56903	Go.9344	GO Type 03	zqwgqj	Definition of zqwgqj
1926	Go.2072	GO Type 03	hplvug	Definition of hplvug
