s_id	e_id	pb_id	mu_id	exp
0000300018	00652	0045767524	001	57
0000300018	00652	0066348651	001	37
0000300018	00652	0002272406	001	58
0000300018	00652	0065251939	001	8
0000300018	00652	0044523357	001	174
0000300018	00652	0037800705	001	91
0000300018	00652	0008506090	001	40
0000300018	00652	0018356310	001	1
0000300018	00652	0083201028	001	149
0000300018	00652	0024007547	001	80
0000300018	00652	0029284011	001	64
0000300018	00652	0095886637	001	21
0000300018	00652	0012258450	001	133
0000300018	00652	0086053581	001	100
0000300018	00652	0031066645	001	7
0000300018	00652	0073740333	001	91
0000300018	00652	0098265031	001	58
0000300018	00652	0006038452	001	119
0000300018	00652	0034027865	001	26
0000300018	00652	0081159909	001	128
0000300018	00652	0083969571	001	36
0000300018	00652	0085915778	001	74
0000300018	00652	0018482378	001	150
0000300018	00652	0029230434	001	114
0000300018	00652	0098915672	001	121
0000300018	00652	0089637898	001	200
0000300018	00652	0040508491	001	70
0000300018	00652	0044099877	001	188
0000300018	00652	0070091630	001	178
0000300018	00652	0084497127	001	179
0000300018	00652	0041316086	001	180
0000300018	00652	0012877680	001	12
0000300018	00652	0009861912	001	75
0000300018	00652	0010213199	001	108
0000300018	00652	0029033190	001	99
0000300018	00652	0062840385	001	36
0000300018	00652	0067887247	001	72
0000300018	00652	0008676201	001	93
0000300018	00652	0078451787	001	98
0000300018	00652	0085949840	001	171
0000300018	00652	0080285694	001	147
0000300018	00652	0054308648	001	31
0000300018	00652	0092228349	001	43
0000300018	00652	0093238948	001	136
0000300018	00652	0089615850	001	93
0000300018	00652	0011013122	001	50
0000300018	00652	0067157237	001	88
0000300018	00652	0024264484	001	169
0000300018	00652	0011222981	001	75
0000300018	00652	0001408958	001	132
0000300018	00652	0003113924	001	154
0000300018	00652	0088325634	001	45
0000300018	00652	0008855229	001	57
0000300018	00652	0039702707	001	95
0000300018	00652	0033314324	001	48
0000300018	00652	0063291438	001	84
0000300018	00652	0059431806	001	182
0000300018	00652	0083339794	001	44
0000300018	00652	0020090024	001	89
0000300018	00652	0041884330	001	5
0000300018	00652	0095894310	001	89
0000300018	00652	0037575844	001	186
0000300018	00652	0066615898	001	167
0000300018	00652	0005125256	001	115
0000300018	00652	0056328457	001	88
0000300018	00652	0059515073	001	144
0000300018	00652	0004384417	001	160
0000300018	00652	0003911607	001	35
0000300018	00652	0055800201	001	178
0000300018	00652	0035184409	001	10
0000300018	00652	0002107550	001	113
0000300018	00652	0004106891	001	95
0000300018	00652	0048274140	001	73
0000300018	00652	0074714098	001	106
0000300018	00652	0098001419	001	195
0000300018	00652	0056199237	001	139
0000300018	00652	0065030086	001	72
0000300018	00652	0061962780	001	67
0000300018	00652	0056836006	001	137
0000300018	00652	0085137117	001	165
0000300018	00652	0069145571	001	181
0000300018	00652	0043370060	001	95
0000300018	00652	0089644373	001	98
0000300018	00652	0024176827	001	105
0000300018	00652	0020007866	001	18
0000300018	00652	0011792230	001	177
0000300018	00652	0000290908	001	175
0000300018	00652	0068870656	001	77
0000300018	00652	0086492181	001	178
0000300018	00652	0076124846	001	14
0000300018	00652	0083492104	001	47
0000300018	00652	0034644475	001	8
0000300018	00652	0064092121	001	89
0000300018	00652	0087520288	001	74
0000300018	00652	0064123193	001	135
0000300018	00652	0056343205	001	88
0000300018	00652	0080667942	001	149
0000300018	00652	0045312416	001	48
0000300018	00652	0087986793	001	114
0000300018	00652	0004382182	001	188
0000300018	00652	0017023816	001	102
0000300018	00652	0050044944	001	137
0000300018	00652	0009458538	001	160
0000300018	00652	0041256930	001	33
0000300018	00652	0044512132	001	157
0000300018	00652	0088666488	001	25
0000300018	00652	0036296956	001	145
0000300018	00652	0002692181	001	134
0000300018	00652	0060750315	001	183
0000300018	00652	0034782318	001	13
0000300018	00652	0053166352	001	157
0000300018	00652	0081043605	001	27
0000300018	00652	0071553817	001	31
0000300018	00652	0023868407	001	146
0000300018	00652	0088157979	001	1
0000300018	00652	0011874873	001	120
0000300018	00652	0062432238	001	74
0000300018	00652	0083981130	001	105
0000300018	00652	0007520481	001	72
0000300018	00652	0075560388	001	76
0000300018	00652	0067194805	001	30
0000300018	00652	0047802661	001	86
0000300018	00652	0099378778	001	81
0000300018	00652	0093692619	001	139
0000300018	00652	0030689521	001	133
0000300018	00652	0020126450	001	156
0000300018	00652	0081624533	001	109
0000300018	00652	0053698799	001	165
0000300018	00652	0011639834	001	135
0000300018	00652	0084387871	001	133
0000300018	00652	0023241403	001	121
0000300018	00652	0041374259	001	83
0000300018	00652	0011597278	001	30
0000300018	00652	0046315074	001	17
0000300018	00652	0058391807	001	81
0000300018	00652	0076047314	001	196
0000300018	00652	0070838747	001	9
0000300018	00652	0013799677	001	66
0000300018	00652	0027032756	001	117
0000300018	00652	0094556743	001	3
0000300018	00652	0003613085	001	191
0000300018	00652	0017459273	001	121
0000300018	00652	0047573883	001	164
0000300018	00652	0010542632	001	29
0000300018	00652	0050172518	001	97
0000300018	00652	0000687990	001	126
0000300018	00652	0083535294	001	46
0000300018	00652	0011396439	001	109
0000300018	00652	0081669603	001	85
0000300018	00652	0035313591	001	56
0000300018	00652	0044208643	001	173
0000300018	00652	0005428292	001	125
0000300018	00652	0095189667	001	194
0000300018	00652	0034754704	001	94
0000300018	00652	0084492058	001	133
0000300018	00652	0024907170	001	36
0000300018	00652	0049065693	001	114
0000300018	00652	0069870165	001	66
0000300018	00652	0074991104	001	119
0000300018	00652	0040278623	001	126
0000300018	00652	0032520283	001	48
0000300018	00652	0046590047	001	131
0000300018	00652	0087761529	001	45
0000300018	00652	0074494936	001	142
0000300018	00652	0093388856	001	94
0000300018	00652	0023505546	001	150
0000300018	00652	0093878029	001	53
0000300018	00652	0089466392	001	178
0000300018	00652	0079922737	001	42
0000300018	00652	0016381969	001	84
0000300018	00652	0013393270	001	61
0000300018	00652	0022356105	001	59
0000300018	00652	0038274272	001	191
0000300018	00652	0041069548	001	115
0000300018	00652	0038339682	001	73
0000300018	00652	0096211086	001	26
0000300018	00652	0040991581	001	6
0000300018	00652	0043708890	001	17
0000300018	00652	0009803493	001	93
0000300018	00652	0099747209	001	167
0000300018	00652	0055499643	001	8
0000300018	00652	0058837773	001	144
0000300018	00652	0010175311	001	3
0000300018	00652	0077831688	001	194
0000300018	00652	0068856754	001	108
0000300018	00652	0050673503	001	176
0000300018	00652	0089158650	001	103
0000300018	00652	0025919099	001	106
0000300018	00652	0016090466	001	163
0000300018	00652	0067656952	001	112
0000300018	00652	0039436007	001	99
0000300018	00652	0055665753	001	176
0000300018	00652	0026079599	001	185
0000300018	00652	0040436417	001	41
0000300018	00652	0032010257	001	114
0000300018	00652	0065762994	001	105
0000300018	00652	0068129123	001	184
0000300018	00652	0079261596	001	155
0000300018	00652	0095755108	001	6
0000300018	00652	0051018719	001	52
0000300018	00652	0091155067	001	146
0000300018	00652	0077237212	001	173
0000300018	00652	0071659756	001	27
0000300018	00652	0039912323	001	134
0000300018	00652	0013570537	001	139
0000300018	00652	0026944656	001	190
0000300018	00652	0073284838	001	28
0000300018	00652	0000931421	001	154
0000300018	00652	0018975811	001	123
0000300018	00652	0069713285	001	17
0000300018	00652	0028467658	001	164
0000300018	00652	0079788465	001	165
0000300018	00652	0093435679	001	134
0000300018	00652	0009880995	001	197
0000300018	00652	0094430953	001	16
0000300018	00652	0056646899	001	91
0000300018	00652	0016862014	001	91
0000300018	00652	0025564000	001	67
0000300018	00652	0095961888	001	49
0000300018	00652	0022153694	001	45
0000300018	00652	0011372170	001	4
0000300018	00652	0099893989	001	78
0000300018	00652	0050670579	001	46
0000300018	00652	0055952362	001	68
0000300018	00652	0058092851	001	136
0000300018	00652	0064137234	001	42
0000300018	00652	0027738252	001	32
0000300018	00652	0047546231	001	164
0000300018	00652	0021109344	001	17
0000300018	00652	0020369142	001	182
0000300018	00652	0004739228	001	95
0000300018	00652	0089458735	001	105
0000300018	00652	0071640423	001	3
0000300018	00652	0044414303	001	190
0000300018	00652	0095972661	001	191
0000300018	00652	0070961923	001	128
0000300018	00652	0063025927	001	27
0000300018	00652	0015676930	001	27
0000300018	00652	0007399027	001	184
0000300018	00652	0030525122	001	182
0000300018	00652	0065067213	001	184
0000300018	00652	0086347060	001	71
0000300018	00652	0064979353	001	187
0000300018	00652	0041757730	001	110
0000300018	00652	0010210757	001	183
0000300018	00652	0009822975	001	200
0000300018	00652	0098201253	001	95
0000300018	00652	0017473223	001	30
0000300018	00652	0096208541	001	86
0000300018	00652	0000204423	001	37
0000300018	00652	0081933827	001	32
0000300018	00652	0047894739	001	6
0000300018	00652	0008410186	001	155
0000300018	00652	0004923240	001	66
0000300018	00652	0084442046	001	29
0000300018	00652	0009085507	001	87
0000300018	00652	0054924199	001	56
0000300018	00652	0028898920	001	42
0000300018	00652	0022057578	001	145
0000300018	00652	0000183433	001	146
0000300018	00652	0007234457	001	52
0000300018	00652	0027283156	001	172
0000300018	00652	0080644189	001	14
0000300018	00652	0042508251	001	27
0000300018	00652	0016260048	001	69
0000300018	00652	0045473007	001	118
0000300018	00652	0099052161	001	129
0000300018	00652	0042403562	001	3
0000300018	00652	0062811085	001	113
0000300018	00652	0035240628	001	75
0000300018	00652	0005772605	001	136
0000300018	00652	0037875821	001	112
0000300018	00652	0047612366	001	183
0000300018	00652	0062968546	001	53
0000300018	00652	0093025330	001	177
0000300018	00652	0075188670	001	156
0000300018	00652	0055149447	001	45
0000300018	00652	0040681825	001	178
0000300018	00652	0096276227	001	91
0000300018	00652	0077873777	001	41
0000300018	00652	0032742464	001	63
0000300018	00652	0033321908	001	87
0000300018	00652	0081038924	001	25
0000300018	00652	0008522738	001	22
0000300018	00652	0091626569	001	184
0000300018	00652	0009503797	001	199
0000300018	00652	0062647874	001	43
0000300018	00652	0096922929	001	68
0000300018	00652	0067317637	001	163
0000300018	00652	0007212862	001	86
0000300018	00652	0088638104	001	48
0000300018	00652	0046578301	001	143
0000300018	00652	0040804468	001	54
0000300018	00652	0094025515	001	167
0000300018	00652	0056884159	001	171
0000300018	00652	0049789018	001	156
0000300018	00652	0094479769	001	188
0000300018	00652	0061980644	001	87
0000300018	00652	0018949429	001	143
0000300018	00652	0074813051	001	33
0000300018	00652	0046499285	001	199
0000300018	00652	0044600389	001	70
0000300018	00652	0084247032	001	3
0000300018	00652	0087563967	001	34
0000300018	00652	0082720614	001	108
0000300018	00652	0087028050	001	190
0000300018	00652	0010696958	001	79
0000300018	00652	0096942707	001	58
0000300018	00652	0056596219	001	165
0000300018	00652	0091360652	001	133
0000300018	00652	0063684783	001	21
0000300018	00652	0049003517	001	37
0000300018	00652	0020227299	001	61
0000300018	00652	0019253122	001	189
0000300018	00652	0003156558	001	55
0000300018	00652	0041538836	001	78
0000300018	00652	0052757931	001	9
0000300018	00652	0006816180	001	169
0000300018	00652	0069871515	001	115
0000300018	00652	0089411246	001	80
0000300018	00652	0065165818	001	107
0000300018	00652	0001291008	001	7
0000300018	00652	0021660813	001	55
0000300018	00652	0019644817	001	1
0000300018	00652	0017265272	001	112
0000300018	00652	0061563945	001	75
0000300018	00652	0080666643	001	102
0000300018	00652	0049330491	001	160
0000300018	00652	0077121167	001	67
0000300018	00652	0026133885	001	36
0000300018	00652	0080551030	001	38
0000300018	00652	0000352956	001	92
0000300018	00652	0035618544	001	160
0000300018	00652	0065276895	001	8
0000300018	00652	0026737449	001	161
0000300018	00652	0098478860	001	27
0000300018	00652	0094658628	001	119
0000300018	00652	0021475718	001	150
0000300018	00652	0073683560	001	52
0000300018	00652	0080723079	001	83
0000300018	00652	0071227511	001	190
0000300018	00652	0047945226	001	29
0000300018	00652	0078121105	001	106
0000300018	00652	0078894729	001	127
0000300018	00652	0038021235	001	86
0000300018	00652	0026249594	001	181
0000300018	00652	0093518908	001	9
0000300018	00652	0070434346	001	28
0000300018	00652	0028491289	001	56
0000300018	00652	0061624288	001	36
0000300018	00652	0030004344	001	61
0000300018	00652	0081591863	001	149
0000300018	00652	0027132989	001	173
0000300018	00652	0098057227	001	135
0000300018	00652	0094090815	001	106
0000300018	00652	0092632869	001	48
0000300018	00652	0056819456	001	103
0000300018	00652	0027435313	001	77
0000300018	00652	0057189126	001	141
0000300018	00652	0026033670	001	178
0000300018	00652	0073112719	001	199
0000300018	00652	0012463020	001	36
0000300018	00652	0070796558	001	143
0000300018	00652	0096235041	001	5
0000300018	00652	0074013681	001	122
0000300018	00652	0048294924	001	173
0000300018	00652	0069143856	001	19
0000300018	00652	0079229112	001	108
0000300018	00652	0045244729	001	192
0000300018	00652	0099286595	001	165
0000300018	00652	0056275578	001	8
0000300018	00652	0083083595	001	165
0000300018	00652	0084245115	001	59
0000300018	00652	0085919922	001	30
0000300018	00652	0054951032	001	74
0000300018	00652	0011925517	001	181
0000300018	00652	0080826470	001	60
0000300018	00652	0051188179	001	108
0000300018	00652	0095593889	001	79
0000300018	00652	0026214893	001	166
0000300018	00652	0097739345	001	57
0000300018	00652	0023347037	001	73
0000300018	00652	0098125026	001	93
0000300018	00652	0062734879	001	34
0000300018	00652	0072988583	001	142
0000300018	00652	0050213005	001	53
0000300018	00652	0088855628	001	132
0000300018	00652	0013852305	001	76
0000300018	00652	0047842220	001	10
0000300018	00652	0053504597	001	90
0000300018	00652	0084105859	001	140
0000300018	00652	0021493993	001	15
0000300018	00652	0099645310	001	35
0000300018	00652	0067292964	001	53
0000300018	00652	0039167447	001	192
0000300018	00652	0015468479	001	143
0000300018	00652	0097017394	001	88
0000300018	00652	0092385969	001	6
0000300018	00652	0020000433	001	56
0000300018	00652	0098472070	001	37
0000300018	00652	0078610609	001	194
0000300018	00652	0013844300	001	15
0000300018	00652	0069431404	001	200
0000300018	00652	0080877693	001	115
0000300018	00652	0057867257	001	139
0000300018	00652	0031538251	001	184
0000300018	00652	0056851265	001	96
0000300018	00652	0045396128	001	44
0000300018	00652	0083421010	001	17
0000300018	00652	0020999428	001	14
0000300018	00652	0056825339	001	67
0000300018	00652	0090134272	001	49
0000300018	00652	0008633719	001	109
0000300018	00652	0082034937	001	71
0000300018	00652	0091409433	001	77
0000300018	00652	0023900513	001	58
0000300018	00652	0007692861	001	5
0000300018	00652	0018406321	001	195
0000300018	00652	0085789344	001	68
0000300018	00652	0092559792	001	180
0000300018	00652	0042623627	001	87
0000300018	00652	0013739423	001	78
0000300018	00652	0047127998	001	40
0000300018	00652	0082538008	001	174
0000300018	00652	0082443189	001	4
0000300018	00652	0055518977	001	170
0000300018	00652	0030737972	001	41
0000300018	00652	0090073998	001	67
0000300018	00652	0059849778	001	22
0000300018	00652	0047935473	001	31
0000300018	00652	0018873567	001	99
0000300018	00652	0025572098	001	166
0000300018	00652	0087845055	001	24
0000300018	00652	0096635218	001	56
0000300018	00652	0033355542	001	59
0000300018	00652	0055657839	001	81
0000300018	00652	0037394890	001	23
0000300018	00652	0071291461	001	162
0000300018	00652	0065189084	001	183
0000300018	00652	0009993510	001	200
0000300018	00652	0090117517	001	150
0000300018	00652	0043701834	001	184
0000300018	00652	0036950196	001	133
0000300018	00652	0073140590	001	166
0000300018	00652	0044387240	001	172
0000300018	00652	0001250125	001	81
0000300018	00652	0060937612	001	34
0000300018	00652	0029271432	001	181
0000300018	00652	0089166761	001	116
0000300018	00652	0021425164	001	109
0000300018	00652	0069151105	001	114
0000300018	00652	0012508769	001	37
0000300018	00652	0019498683	001	72
0000300018	00652	0046038120	001	14
0000300018	00652	0097328184	001	83
0000300018	00652	0026272056	001	147
0000300018	00652	0064779024	001	186
0000300018	00652	0097087109	001	49
0000300018	00652	0038817393	001	52
0000300018	00652	0008623115	001	23
0000300018	00652	0074767560	001	171
0000300018	00652	0086796349	001	29
0000300018	00652	0074790053	001	56
0000300018	00652	0055749778	001	145
0000300018	00652	0043626599	001	198
0000300018	00652	0078514030	001	101
0000300018	00652	0048158632	001	84
0000300018	00652	0068715532	001	50
0000300018	00652	0094619754	001	165
0000300018	00652	0020564413	001	40
0000300018	00652	0077366275	001	30
0000300018	00652	0097083950	001	87
0000300018	00652	0038280932	001	107
0000300018	00652	0080742428	001	38
0000300018	00652	0080938826	001	195
0000300018	00652	0053948275	001	58
0000300018	00652	0054817930	001	25
0000300018	00652	0028119898	001	17
0000300018	00652	0044016643	001	104
0000300018	00652	0040377309	001	127
0000300018	00652	0028753009	001	6
0000300018	00652	0072335295	001	154
0000300018	00652	0061282013	001	49
0000300018	00652	0058187031	001	36
0000300018	00652	0025483779	001	58
0000300018	00652	0028503360	001	88
0000300018	00652	0051793721	001	90
0000300018	00652	0039547141	001	158
0000300018	00652	0007244861	001	35
0000300018	00652	0055130356	001	53
0000300018	00652	0011192026	001	114
0000300018	00652	0071838750	001	89
0000300018	00652	0006372918	001	47
0000300018	00652	0018295037	001	59
0000300018	00652	0024047518	001	96
0000300018	00652	0089044803	001	68
0000300018	00652	0062545554	001	76
0000300018	00652	0057138825	001	149
0000300018	00652	0061922530	001	175
0000300018	00652	0073782909	001	14
0000300018	00652	0094214064	001	173
0000300018	00652	0047023777	001	139
0000300018	00652	0023481858	001	109
0000300018	00652	0071549840	001	60
0000300018	00652	0074548977	001	142
0000300018	00652	0083559136	001	74
0000300018	00652	0054386492	001	179
0000300018	00652	0091234380	001	90
0000300018	00652	0017530523	001	69
0000300018	00652	0095212157	001	105
0000300018	00652	0069779552	001	145
0000300018	00652	0025949987	001	163
0000300018	00652	0092317720	001	42
