UID	go_id	cl_id	dm_id	pm_id	UID2
0039797980	null	null	null	null	0093388377
0039797980	null	null	null	null	0050297318
0079869788	0088273	00002	00154816	null	null
0079869788	null	null	00123781	null	null
0079869788	null	null	null	00571493	null
0079869788	null	null	null	00289850	null
0079869788	null	null	null	null	0093815598
0079869788	null	null	null	null	0095645106
0027506280	0027574	00002	00198782	null	null
0027506280	null	null	00588995	null	null
0027506280	null	null	null	00733113	null
0027506280	null	null	null	null	0040886397
0027506280	null	null	null	null	0084445357
0054986560	0038070	00002	00071363	null	null
0054986560	null	null	null	00600920	null
0054986560	null	null	null	00369602	null
0054986560	null	null	null	null	0095092707
0054986560	null	null	null	null	0083105688
0054986560	null	null	null	null	0036532782
0081269435	0084040	00002	00985555	null	null
0081269435	null	null	null	00700535	null
0081269435	null	null	null	00654121	null
0081269435	null	null	null	00745189	null
0081269435	null	null	null	null	0093815598
0081269435	null	null	null	null	0059591163
0084909827	0046218	00002	00767783	null	null
0084909827	null	null	null	00455926	null
0084909827	null	null	null	00543949	null
0084909827	null	null	null	null	0070792370
0084909827	null	null	null	null	0032110528
0084909827	null	null	null	null	0045477167
0097729036	0087974	00002	00370935	null	null
0097729036	null	null	00398516	null	null
0097729036	null	null	null	00451810	null
0097729036	null	null	null	null	0094908197
0097729036	null	null	null	null	0059287565
0097729036	null	null	null	null	0047852245
0097729036	null	null	null	null	0068252248
0050296579	0071095	00002	00121302	null	null
0050296579	null	null	null	00898263	null
0050296579	null	null	null	00592820	null
0050296579	null	null	null	00842606	null
0050296579	null	null	null	null	0078949819
0050296579	null	null	null	null	0005502754
0050296579	null	null	null	null	0004613917
0050296579	null	null	null	null	0054516275
0057038414	0082316	00833	00947243	null	null
0057038414	null	null	00473619	null	null
0057038414	null	null	00554940	null	null
0057038414	null	null	null	00778148	null
0057038414	null	null	null	00528220	null
0057038414	null	null	null	null	0067956399
0057038414	null	null	null	null	0005502754
0057038414	null	null	null	null	0037998407
0057038414	null	null	null	null	0057734113
0055288862	0066099	00318	00182569	null	null
0055288862	null	null	00638579	null	null
0055288862	null	null	null	00694406	null
0055288862	null	null	null	00449824	null
0055288862	null	null	null	null	0009653254
0055288862	null	null	null	null	0095062183
0095645106	0022165	00532	00979333	null	null
0095645106	null	null	null	00600920	null
0095645106	null	null	null	00629917	null
0095645106	null	null	null	null	0079588804
0095645106	null	null	null	null	0054495047
0095645106	null	null	null	null	0056963545
0094521038	0011557	00318	00310859	null	null
0094521038	null	null	null	00958880	null
0094521038	null	null	null	00999795	null
0094521038	null	null	null	null	0018083600
0094521038	null	null	null	null	0044138912
0094521038	null	null	null	null	0024501565
0018493181	0006931	00826	00716369	null	null
0018493181	null	null	00778251	null	null
0018493181	null	null	00026701	null	null
0018493181	null	null	null	00419162	null
0018493181	null	null	null	00925637	null
0018493181	null	null	null	null	0087677109
0018493181	null	null	null	null	0024962478
0018493181	null	null	null	null	0019239479
0018493181	null	null	null	null	0053982215
0018493181	null	null	null	null	0036439208
0034505294	0030913	00234	00946680	null	null
0034505294	null	null	null	00259926	null
0034505294	null	null	null	00398950	null
0034505294	null	null	null	null	0020099569
0034505294	null	null	null	null	0083105688
0034505294	null	null	null	null	0023176794
0034505294	null	null	null	null	0055061132
0082840410	0027068	00598	00271375	null	null
0082840410	null	null	00226443	null	null
0082840410	null	null	null	00431278	null
0082840410	null	null	null	00600461	null
0082840410	null	null	null	00889766	null
0082840410	null	null	null	null	0016497097
0082840410	null	null	null	null	0067207114
0082840410	null	null	null	null	0053593509
0082840410	null	null	null	null	0018717942
0082840410	null	null	null	null	0002666790
0012695505	0001358	00167	00391160	null	null
0012695505	null	null	00859471	null	null
0012695505	null	null	00990595	null	null
0012695505	null	null	null	00346774	null
0012695505	null	null	null	00900378	null
0012695505	null	null	null	00653448	null
0012695505	null	null	null	null	0004205491
0012695505	null	null	null	null	0019171339
0012695505	null	null	null	null	0043437718
0033785304	0031832	00848	00524966	null	null
0033785304	null	null	00731632	null	null
0033785304	null	null	00680917	null	null
0033785304	null	null	null	00749866	null
0033785304	null	null	null	null	0049718186
0033785304	null	null	null	null	0053622424
0024264917	0073596	00132	00674605	null	null
0024264917	null	null	null	00894683	null
0024264917	null	null	null	null	0041755022
0024264917	null	null	null	null	0092008276
0024264917	null	null	null	null	0067838426
0024264917	null	null	null	null	0094707966
0024264917	null	null	null	null	0025419386
0087996855	0046164	00833	00238050	null	null
0087996855	null	null	00681476	null	null
0087996855	null	null	00649660	null	null
0087996855	null	null	null	00471915	null
0087996855	null	null	null	null	0071679778
0087996855	null	null	null	null	0058317395
0087996855	null	null	null	null	0061099229
0087996855	null	null	null	null	0051407560
0087996855	null	null	null	null	0009645631
0016869762	0011947	00851	00006452	null	null
0016869762	null	null	00195066	null	null
0016869762	null	null	00153424	null	null
0016869762	null	null	null	00711918	null
0016869762	null	null	null	00835526	null
0016869762	null	null	null	00624806	null
0016869762	null	null	null	null	0083848555
0086953414	0089141	00916	00909054	null	null
0086953414	null	null	00922376	null	null
0086953414	null	null	00391160	null	null
0086953414	null	null	null	00787046	null
0086953414	null	null	null	00952511	null
0086953414	null	null	null	null	0030138852
0086953414	null	null	null	null	0052539724
0086953414	null	null	null	null	0065267883
0086953414	null	null	null	null	0035663377
0025346630	0046348	00998	00442322	null	null
0025346630	null	null	null	00201946	null
0025346630	null	null	null	00028143	null
0025346630	null	null	null	00241995	null
0025346630	null	null	null	null	0014943984
0025346630	null	null	null	null	0012060399
0025346630	null	null	null	null	0055359195
0025346630	null	null	null	null	0065371236
0094060248	0034951	00020	00072372	null	null
0094060248	null	null	00924686	null	null
0094060248	null	null	null	00604275	null
0094060248	null	null	null	null	0031610401
0094060248	null	null	null	null	0054625122
0094060248	null	null	null	null	0052304302
0094060248	null	null	null	null	0045032562
0094060248	null	null	null	null	0071915530
0049521432	0000487	00602	00860371	null	null
0049521432	null	null	00875957	null	null
0049521432	null	null	00559142	null	null
0049521432	null	null	null	00103280	null
0049521432	null	null	null	00592820	null
0049521432	null	null	null	null	0001590879
0021711230	0011473	00826	00254103	null	null
0021711230	null	null	00222603	null	null
0021711230	null	null	00493908	null	null
0021711230	null	null	null	00553214	null
0021711230	null	null	null	00599889	null
0021711230	null	null	null	00546030	null
0021711230	null	null	null	null	0093431276
0021711230	null	null	null	null	0072249108
0021711230	null	null	null	null	0053593509
0021711230	null	null	null	null	0075392358
0021711230	null	null	null	null	0067838426
0051389988	0012975	00020	00262964	null	null
0051389988	null	null	null	00360120	null
0051389988	null	null	null	00071875	null
0051389988	null	null	null	null	0029535121
0051389988	null	null	null	null	0065680807
0051389988	null	null	null	null	0072249108
0051389988	null	null	null	null	0027904328
0051389988	null	null	null	null	0044081524
0046355166	0014663	00936	00204871	null	null
0046355166	null	null	00638053	null	null
0046355166	null	null	00622179	null	null
0046355166	null	null	null	00685931	null
0046355166	null	null	null	null	0077434860
0046355166	null	null	null	null	0056932758
0046355166	null	null	null	null	0073761496
0019304711	0069884	00716	00376723	null	null
0019304711	null	null	00770025	null	null
0019304711	null	null	00065840	null	null
0019304711	null	null	null	00794181	null
0019304711	null	null	null	00489538	null
0019304711	null	null	null	00342803	null
0019304711	null	null	null	null	0018822422
0019304711	null	null	null	null	0057426349
0019304711	null	null	null	null	0094521038
0067606656	0088227	00037	00830983	null	null
0067606656	null	null	00517338	null	null
0067606656	null	null	00529952	null	null
0067606656	null	null	null	00024789	null
0067606656	null	null	null	null	0055191224
0006771749	0062974	00137	00729205	null	null
0006771749	null	null	00536884	null	null
0006771749	null	null	null	00486263	null
0006771749	null	null	null	null	0036250110
0006771749	null	null	null	null	0046748681
0018614224	0019865	00998	00999649	null	null
0018614224	null	null	00293330	null	null
0018614224	null	null	00903795	null	null
0018614224	null	null	null	00565235	null
0018614224	null	null	null	00124611	null
0018614224	null	null	null	00077159	null
0018614224	null	null	null	null	0019361518
0018614224	null	null	null	null	0067083922
0049681729	0049333	00338	00378888	null	null
0049681729	null	null	00175662	null	null
0049681729	null	null	null	00609248	null
0049681729	null	null	null	00638417	null
0049681729	null	null	null	null	0094485403
0094915387	0072944	00980	00502631	null	null
0094915387	null	null	00889624	null	null
0094915387	null	null	00186571	null	null
0094915387	null	null	null	00855235	null
0094915387	null	null	null	null	0021282903
0094915387	null	null	null	null	0042641438
0094915387	null	null	null	null	0045055826
0095282219	0073343	00150	00296729	null	null
0095282219	null	null	00415360	null	null
0095282219	null	null	00499531	null	null
0095282219	null	null	null	00198173	null
0095282219	null	null	null	00455926	null
0095282219	null	null	null	00657135	null
0095282219	null	null	null	null	0042849672
0095282219	null	null	null	null	0016089971
0095282219	null	null	null	null	0019479351
0095282219	null	null	null	null	0097952203
0095282219	null	null	null	null	0002542951
0088974248	0061635	00230	00987682	null	null
0088974248	null	null	null	00111413	null
0088974248	null	null	null	00180982	null
0088974248	null	null	null	null	0060661836
0088974248	null	null	null	null	0018012520
0088974248	null	null	null	null	0075434512
0071679778	0006197	00805	00200417	null	null
0071679778	null	null	00208485	null	null
0071679778	null	null	null	00704396	null
0071679778	null	null	null	00434666	null
0071679778	null	null	null	null	0016824822
0071679778	null	null	null	null	0061889916
0071679778	null	null	null	null	0051617185
0041973591	0025746	00437	00659277	null	null
0041973591	null	null	00886900	null	null
0041973591	null	null	00726589	null	null
0041973591	null	null	null	00701185	null
0041973591	null	null	null	00822895	null
0041973591	null	null	null	00178020	null
0041973591	null	null	null	null	0082655035
0041973591	null	null	null	null	0080885057
0041973591	null	null	null	null	0002542951
0041973591	null	null	null	null	0028479665
0041973591	null	null	null	null	0016936199
0060213879	0086336	00121	00862546	null	null
0060213879	null	null	null	00564792	null
0060213879	null	null	null	00881483	null
0060213879	null	null	null	00211408	null
0060213879	null	null	null	null	0067016900
0060213879	null	null	null	null	0069474146
0060213879	null	null	null	null	0078949819
0060213879	null	null	null	null	0081119279
0060213879	null	null	null	null	0026677158
0040326466	0090524	00516	00125745	null	null
0040326466	null	null	00198782	null	null
0040326466	null	null	null	00806386	null
0040326466	null	null	null	00559995	null
0040326466	null	null	null	null	0076491915
0040326466	null	null	null	null	0057288214
0040326466	null	null	null	null	0094813270
0036961530	0053426	00185	00770025	null	null
0036961530	null	null	null	00043103	null
0036961530	null	null	null	null	0054625122
0005925535	0024839	00296	00369703	null	null
0005925535	null	null	null	00138297	null
0005925535	null	null	null	00026883	null
0005925535	null	null	null	00203519	null
0005925535	null	null	null	null	0076814971
0005925535	null	null	null	null	0097481186
0005925535	null	null	null	null	0028223227
0038132897	0080025	00709	00063903	null	null
0038132897	null	null	00034397	null	null
0038132897	null	null	null	00900421	null
0038132897	null	null	null	00705208	null
0038132897	null	null	null	null	0079272055
0038132897	null	null	null	null	0008233526
0049551457	0043336	00800	00170167	null	null
0049551457	null	null	00589047	null	null
0049551457	null	null	00069898	null	null
0049551457	null	null	null	00876080	null
0049551457	null	null	null	00940935	null
0049551457	null	null	null	null	0008134803
0049551457	null	null	null	null	0053593509
0075754990	0034770	00174	00896074	null	null
0075754990	null	null	null	00773650	null
0075754990	null	null	null	00692201	null
0075754990	null	null	null	null	0086558800
0075754990	null	null	null	null	0097153273
0075754990	null	null	null	null	0029280181
0075754990	null	null	null	null	0078713927
0081119279	0082163	00564	00680917	null	null
0081119279	null	null	00272732	null	null
0081119279	null	null	00649427	null	null
0081119279	null	null	null	00988895	null
0081119279	null	null	null	00546030	null
0081119279	null	null	null	null	0082597024
0081119279	null	null	null	null	0083182710
0095265658	0019028	00592	00374756	null	null
0095265658	null	null	null	00934322	null
0095265658	null	null	null	00100926	null
0095265658	null	null	null	00103280	null
0095265658	null	null	null	null	0031322522
0095265658	null	null	null	null	0034886772
0018634953	0011991	00598	00206971	null	null
0018634953	null	null	null	00489538	null
0018634953	null	null	null	null	0038422427
0018634953	null	null	null	null	0032110528
0018634953	null	null	null	null	0082151723
0018634953	null	null	null	null	0072238113
0048951243	0073445	00013	00869749	null	null
0048951243	null	null	00451226	null	null
0048951243	null	null	null	00222503	null
0048951243	null	null	null	00133264	null
0048951243	null	null	null	null	0028784223
0048951243	null	null	null	null	0009645631
0048951243	null	null	null	null	0098075610
0048951243	null	null	null	null	0094657282
0048951243	null	null	null	null	0024336424
0071496461	0035101	00729	00186571	null	null
0071496461	null	null	00412556	null	null
0071496461	null	null	00114433	null	null
0071496461	null	null	null	00003982	null
0071496461	null	null	null	00883754	null
0071496461	null	null	null	00096912	null
0071496461	null	null	null	null	0002402828
0071496461	null	null	null	null	0046373198
0050529840	0010083	00656	00701233	null	null
0050529840	null	null	00888982	null	null
0050529840	null	null	null	00171366	null
0050529840	null	null	null	null	0036961530
0050529840	null	null	null	null	0013970105
0050529840	null	null	null	null	0008740057
0050529840	null	null	null	null	0037595490
0050529840	null	null	null	null	0084288452
0046748681	0041322	00972	00370935	null	null
0046748681	null	null	null	00893809	null
0046748681	null	null	null	null	0074982317
0065772884	0021646	00162	00380093	null	null
0065772884	null	null	null	00176801	null
0065772884	null	null	null	00727585	null
0065772884	null	null	null	null	0089697658
0065772884	null	null	null	null	0068698099
0065772884	null	null	null	null	0002666790
0035597066	0045023	00438	00654726	null	null
0035597066	null	null	00806352	null	null
0035597066	null	null	null	00846319	null
0035597066	null	null	null	null	0027459209
0035597066	null	null	null	null	0038558690
0065267883	0059325	00612	00910015	null	null
0065267883	null	null	null	00517233	null
0065267883	null	null	null	00050733	null
0065267883	null	null	null	null	0094521038
0065267883	null	null	null	null	0037764373
0065267883	null	null	null	null	0003955938
0065267883	null	null	null	null	0080109579
0055661307	0025209	00501	00235335	null	null
0055661307	null	null	00443316	null	null
0055661307	null	null	00965418	null	null
0055661307	null	null	null	00977775	null
0055661307	null	null	null	00121147	null
0055661307	null	null	null	00767224	null
0055661307	null	null	null	null	0068252248
0055661307	null	null	null	null	0013843662
0055661307	null	null	null	null	0018012520
0055661307	null	null	null	null	0054835534
0055661307	null	null	null	null	0038829603
0039508117	0053274	00592	00424650	null	null
0039508117	null	null	null	00151281	null
0039508117	null	null	null	00277372	null
0039508117	null	null	null	00760186	null
0039508117	null	null	null	null	0013975562
0039508117	null	null	null	null	0097581119
0004826120	0078839	00516	00888605	null	null
0004826120	null	null	null	00525679	null
0004826120	null	null	null	00534116	null
0004826120	null	null	null	null	0016824822
0021633757	0077279	00909	00499531	null	null
0021633757	null	null	00187512	null	null
0021633757	null	null	null	00019319	null
0021633757	null	null	null	00440268	null
0021633757	null	null	null	00573491	null
0021633757	null	null	null	null	0002402828
0021633757	null	null	null	null	0037702028
0021633757	null	null	null	null	0063513327
0021633757	null	null	null	null	0078231065
0029571383	0013941	00516	00229535	null	null
0029571383	null	null	00330575	null	null
0029571383	null	null	null	00528825	null
0029571383	null	null	null	null	0002025957
0029571383	null	null	null	null	0036724452
0029571383	null	null	null	null	0099760684
0029571383	null	null	null	null	0060979779
0095115985	0031800	00644	00474108	null	null
0095115985	null	null	00413853	null	null
0095115985	null	null	00317636	null	null
0095115985	null	null	null	00866494	null
0095115985	null	null	null	00154894	null
0095115985	null	null	null	null	0078392934
0017791557	0012657	00133	00146634	null	null
0017791557	null	null	null	00510344	null
0017791557	null	null	null	00794181	null
0017791557	null	null	null	null	0078565207
0017791557	null	null	null	null	0036876825
0057426349	0007761	00070	00964407	null	null
0057426349	null	null	00571123	null	null
0057426349	null	null	null	00791482	null
0057426349	null	null	null	00361823	null
0057426349	null	null	null	00979182	null
0057426349	null	null	null	null	0018493181
0060166109	0082877	00709	00437860	null	null
0060166109	null	null	null	00102811	null
0060166109	null	null	null	00697687	null
0060166109	null	null	null	00701185	null
0060166109	null	null	null	null	0011992168
0060166109	null	null	null	null	0075705918
0090136530	0026510	00147	00424650	null	null
0090136530	null	null	null	00889318	null
0090136530	null	null	null	null	0004613917
0090136530	null	null	null	null	0094780689
0090136530	null	null	null	null	0061113956
0090136530	null	null	null	null	0002382734
0090136530	null	null	null	null	0056963545
0056621933	0038070	00914	00983835	null	null
0056621933	null	null	00852154	null	null
0056621933	null	null	00587179	null	null
0056621933	null	null	null	00004622	null
0056621933	null	null	null	00555831	null
0056621933	null	null	null	null	0005978391
0056621933	null	null	null	null	0051323880
0056621933	null	null	null	null	0004515800
0024266603	0005299	00437	00427885	null	null
0024266603	null	null	00923451	null	null
0024266603	null	null	null	00489831	null
0024266603	null	null	null	00238535	null
0024266603	null	null	null	00693950	null
0024266603	null	null	null	null	0087338718
0024266603	null	null	null	null	0091763045
0033811274	0042957	00319	00204775	null	null
0033811274	null	null	null	00065132	null
0033811274	null	null	null	null	0065371236
0033811274	null	null	null	null	0090301560
0033811274	null	null	null	null	0010340439
0097481186	0036339	00953	00974919	null	null
0097481186	null	null	00245827	null	null
0097481186	null	null	null	00568115	null
0097481186	null	null	null	null	0080985995
0097481186	null	null	null	null	0043835978
0097481186	null	null	null	null	0037764373
0005502754	0058842	00752	00233981	null	null
0005502754	null	null	null	00391018	null
0005502754	null	null	null	00931405	null
0005502754	null	null	null	00858660	null
0005502754	null	null	null	null	0035597066
0027904328	0012962	00092	00123781	null	null
0027904328	null	null	00628720	null	null
0027904328	null	null	null	00791589	null
0027904328	null	null	null	00987244	null
0027904328	null	null	null	null	0088895060
0027904328	null	null	null	null	0025346630
0072238113	0099192	00167	00664062	null	null
0072238113	null	null	null	00711163	null
0072238113	null	null	null	00863222	null
0072238113	null	null	null	null	0046550804
0022135387	0090772	00697	00255020	null	null
0022135387	null	null	00648844	null	null
0022135387	null	null	null	00719066	null
0022135387	null	null	null	null	0004515800
0045423191	0060931	00008	00216010	null	null
0045423191	null	null	00573482	null	null
0045423191	null	null	00787596	null	null
0045423191	null	null	null	00534926	null
0045423191	null	null	null	00452514	null
0045423191	null	null	null	00154894	null
0045423191	null	null	null	null	0088929552
0045423191	null	null	null	null	0043112538
0088234180	0047649	00232	00899592	null	null
0088234180	null	null	00698432	null	null
0088234180	null	null	00622179	null	null
0088234180	null	null	null	00632863	null
0088234180	null	null	null	00736645	null
0088234180	null	null	null	null	0083896386
0088234180	null	null	null	null	0081119279
0066967137	0082877	00777	00372837	null	null
0066967137	null	null	00400518	null	null
0066967137	null	null	00983337	null	null
0066967137	null	null	null	00255838	null
0066967137	null	null	null	00024436	null
0066967137	null	null	null	00589388	null
0066967137	null	null	null	null	0057757278
0050297318	0096577	00826	00029119	null	null
0050297318	null	null	null	00165323	null
0050297318	null	null	null	null	0065701085
0050297318	null	null	null	null	0053177861
0050297318	null	null	null	null	0085369940
0050297318	null	null	null	null	0057160877
0017743544	0018758	00142	00767783	null	null
0017743544	null	null	null	00617566	null
0017743544	null	null	null	00071321	null
0017743544	null	null	null	null	0073316470
0019729470	0029023	00876	00231137	null	null
0019729470	null	null	00078972	null	null
0019729470	null	null	null	00835353	null
0019729470	null	null	null	null	0068062450
0019729470	null	null	null	null	0099498513
0019729470	null	null	null	null	0068693930
0019729470	null	null	null	null	0039179969
0076036882	0064197	00319	00178173	null	null
0076036882	null	null	00213223	null	null
0076036882	null	null	null	00989997	null
0076036882	null	null	null	00493319	null
0076036882	null	null	null	null	0064837688
0045404463	0077465	00646	00207859	null	null
0045404463	null	null	null	00890485	null
0045404463	null	null	null	00853170	null
0045404463	null	null	null	null	0024873412
0021779849	0001398	00334	00292697	null	null
0021779849	null	null	00036511	null	null
0021779849	null	null	00614409	null	null
0021779849	null	null	null	00398218	null
0021779849	null	null	null	00250549	null
0021779849	null	null	null	null	0008508794
0021779849	null	null	null	null	0061185810
0021779849	null	null	null	null	0059927456
0021779849	null	null	null	null	0084122201
0021779849	null	null	null	null	0078949819
0063053654	0055891	00848	00084520	null	null
0063053654	null	null	null	00224065	null
0063053654	null	null	null	00419401	null
0063053654	null	null	null	00371435	null
0063053654	null	null	null	null	0040866704
0063053654	null	null	null	null	0060213879
0063053654	null	null	null	null	0090675563
0083105688	0064020	00805	00523124	null	null
0083105688	null	null	00428070	null	null
0083105688	null	null	00352868	null	null
0083105688	null	null	null	00543949	null
0083105688	null	null	null	null	0073199702
0083105688	null	null	null	null	0090789963
0083105688	null	null	null	null	0081566238
0083105688	null	null	null	null	0099760684
0083105688	null	null	null	null	0054111971
0065680807	0062673	00909	00999649	null	null
0065680807	null	null	null	00635176	null
0065680807	null	null	null	00695234	null
0065680807	null	null	null	null	0031308500
0065680807	null	null	null	null	0025838613
0065680807	null	null	null	null	0055615139
0057734781	0012502	00768	00012982	null	null
0057734781	null	null	00881380	null	null
0057734781	null	null	00238313	null	null
0057734781	null	null	null	00223563	null
0057734781	null	null	null	00237567	null
0057734781	null	null	null	null	0021068120
0057734781	null	null	null	null	0091021866
0057734781	null	null	null	null	0006743887
0073944816	0012502	00532	00436121	null	null
0073944816	null	null	null	00107402	null
0073944816	null	null	null	00236277	null
0073944816	null	null	null	00606362	null
0073944816	null	null	null	null	0058383610
0073944816	null	null	null	null	0057434631
0073944816	null	null	null	null	0087820636
0036876825	0012502	00383	00422004	null	null
0036876825	null	null	00726589	null	null
0036876825	null	null	null	00840675	null
0036876825	null	null	null	00503505	null
0036876825	null	null	null	null	0017743544
0036876825	null	null	null	null	0098075610
0036876825	null	null	null	null	0013051218
0036876825	null	null	null	null	0024327491
0042895686	0012502	00185	00026701	null	null
0042895686	null	null	00142258	null	null
0042895686	null	null	null	00029801	null
0042895686	null	null	null	null	0091589186
0042895686	null	null	null	null	0041943215
0042895686	null	null	null	null	0011992168
0048920943	0012502	00590	00422451	null	null
0048920943	null	null	00255466	null	null
0048920943	null	null	null	00267610	null
0048920943	null	null	null	00749352	null
0048920943	null	null	null	00606606	null
0048920943	null	null	null	null	0095628241
0048920943	null	null	null	null	0060194567
0048920943	null	null	null	null	0011084937
0048920943	null	null	null	null	0087206435
0048920943	null	null	null	null	0035017510
0071187417	0012502	00162	00517338	null	null
0071187417	null	null	00248635	null	null
0071187417	null	null	00059170	null	null
0071187417	null	null	null	00920356	null
0071187417	null	null	null	00645242	null
0071187417	null	null	null	00083657	null
0071187417	null	null	null	null	0036624062
0071187417	null	null	null	null	0094113401
0071187417	null	null	null	null	0080087775
0071187417	null	null	null	null	0087996855
0071187417	null	null	null	null	0091392850
0037764373	0012502	00113	00278913	null	null
0037764373	null	null	00396338	null	null
0037764373	null	null	null	00372246	null
0037764373	null	null	null	00386269	null
0037764373	null	null	null	null	0004909256
0037764373	null	null	null	null	0095628241
0037764373	null	null	null	null	0052291421
0068062450	0012502	00750	00226443	null	null
0068062450	null	null	00924686	null	null
0068062450	null	null	00504995	null	null
0068062450	null	null	null	00517233	null
0068062450	null	null	null	00327624	null
0068062450	null	null	null	null	0043771169
0068062450	null	null	null	null	0002988848
0068062450	null	null	null	null	0088884371
0068062450	null	null	null	null	0004083265
0022670513	0012502	00136	00548671	null	null
0022670513	null	null	00187754	null	null
0022670513	null	null	null	00355763	null
0022670513	null	null	null	null	0080432683
0022670513	null	null	null	null	0016073088
0022670513	null	null	null	null	0046529693
0032908463	0012502	00612	00702652	null	null
0032908463	null	null	00938623	null	null
0032908463	null	null	null	00162825	null
0032908463	null	null	null	00994012	null
0032908463	null	null	null	00599228	null
0032908463	null	null	null	null	0073405476
0032908463	null	null	null	null	0061185810
0032908463	null	null	null	null	0039835251
0032908463	null	null	null	null	0010295571
0032908463	null	null	null	null	0033785304
0085578602	0012502	00916	00011504	null	null
0085578602	null	null	00260257	null	null
