e_id	nm_id	pj_id	pn_id	pf_id	pt_id	pu_id
00995	null	null	null	null	null	06381
00075	06	073	00939	null	066	null
00075	null	null	09040	null	null	null
00075	null	null	04124	null	null	null
00075	null	null	04850	null	null	null
00075	null	null	null	null	null	09171
00421	09	088	05270	null	068	null
00421	null	null	08408	null	null	null
00421	null	null	02579	null	null	null
00421	null	null	02612	null	null	null
00421	null	null	05982	null	null	null
00421	null	null	null	null	null	06688
00421	null	null	null	null	null	07589
00421	null	null	null	null	null	02770
00297	08	088	09423	null	081	null
00297	null	null	02265	null	null	null
00297	null	null	03392	null	null	null
00297	null	null	06005	null	null	null
00297	null	null	01176	null	null	null
00297	null	null	00246	null	null	null
00297	null	null	09040	null	null	null
00297	null	null	null	null	null	03325
00906	04	048	08331	null	080	null
00906	null	null	02101	null	null	null
00906	null	null	01468	null	null	null
00906	null	null	08455	null	null	null
00906	null	null	03734	null	null	null
00906	null	null	01176	null	null	null
00906	null	null	02872	null	null	null
00906	null	null	04016	null	null	null
00906	null	null	02536	null	null	null
00906	null	null	06005	null	null	null
00906	null	null	null	null	null	04591
00906	null	null	null	null	null	00367
00768	04	088	05208	null	068	null
00768	null	null	05677	null	null	null
00768	null	null	06326	null	null	null
00768	null	null	04028	null	null	null
00768	null	null	00635	null	null	null
00768	null	null	08874	null	null	null
00768	null	null	04170	null	null	null
00768	null	null	null	null	null	05860
00768	null	null	null	null	null	02643
00768	null	null	null	null	null	00029
00172	04	072	01508	null	053	null
00172	null	null	03294	null	null	null
00172	null	null	09249	null	null	null
00172	null	null	07742	null	null	null
00172	null	null	05769	null	null	null
00172	null	null	07896	null	null	null
00172	null	null	09249	null	null	null
00172	null	null	00318	null	null	null
00172	null	null	05938	null	null	null
00172	null	null	null	null	null	09190
00286	03	048	08987	null	032	null
00286	null	null	05928	null	null	null
00286	null	null	05938	null	null	null
00286	null	null	09086	null	null	null
00286	null	null	06326	null	null	null
00286	null	null	07844	null	null	null
00286	null	null	05270	null	null	null
00286	null	null	null	null	null	03841
00286	null	null	null	null	null	03707
00606	08	048	05232	null	000	null
00606	null	null	02579	null	null	null
00606	null	null	08874	null	null	null
00606	null	null	00635	null	null	null
00606	null	null	02205	null	null	null
00606	null	null	06473	null	null	null
00606	null	null	03129	null	null	null
00606	null	null	00313	null	null	null
00606	null	null	null	null	null	07211
00459	08	073	09173	null	006	null
00459	null	null	03132	null	null	null
00459	null	null	04850	null	null	null
00459	null	null	03970	null	null	null
00459	null	null	04778	null	null	null
00459	null	null	05928	null	null	null
00459	null	null	05037	null	null	null
00459	null	null	02612	null	null	null
00459	null	null	08408	null	null	null
00459	null	null	05343	null	null	null
00459	null	null	null	null	null	02861
00459	null	null	null	null	null	08839
00745	08	072	04614	null	017	null
00745	null	null	02415	null	null	null
00745	null	null	09454	null	null	null
00745	null	null	00118	null	null	null
00745	null	null	00061	null	null	null
00745	null	null	08733	null	null	null
00745	null	null	01559	null	null	null
00745	null	null	null	null	null	06180
00745	null	null	null	null	null	06381
00745	null	null	null	null	null	03639
00152	04	092	03294	null	053	null
00152	null	null	01765	null	null	null
00152	null	null	02013	null	null	null
00152	null	null	08962	null	null	null
00152	null	null	null	null	null	05451
00084	09	004	04344	null	047	null
00084	null	null	09279	null	null	null
00084	null	null	08054	null	null	null
00084	null	null	01177	null	null	null
00084	null	null	00061	null	null	null
00084	null	null	05118	null	null	null
00084	null	null	07448	null	null	null
00084	null	null	null	null	null	00400
00084	null	null	null	null	null	00226
00102	04	080	00116	null	083	null
00102	null	null	03818	null	null	null
00102	null	null	02579	null	null	null
00102	null	null	09990	null	null	null
00102	null	null	09040	null	null	null
00102	null	null	08742	null	null	null
00102	null	null	07693	null	null	null
00102	null	null	01308	null	null	null
00102	null	null	null	null	null	06518
00102	null	null	null	null	null	04212
00102	null	null	null	null	null	00172
00433	03	084	01863	null	034	null
00433	null	null	05787	null	null	null
00433	null	null	06901	null	null	null
00433	null	null	05232	null	null	null
00433	null	null	02961	null	null	null
00433	null	null	07405	null	null	null
00433	null	null	02872	null	null	null
00433	null	null	04303	null	null	null
00433	null	null	01859	null	null	null
00433	null	null	null	null	null	08392
00433	null	null	null	null	null	00274
00467	06	073	04351	null	080	null
00467	null	null	03129	null	null	null
00467	null	null	05042	null	null	null
00467	null	null	09249	null	null	null
00467	null	null	08733	null	null	null
00467	null	null	03626	null	null	null
00467	null	null	01896	null	null	null
00467	null	null	05769	null	null	null
00467	null	null	01052	null	null	null
00467	null	null	07372	null	null	null
00467	null	null	null	null	null	02832
00814	04	080	08331	null	068	null
00814	null	null	05315	null	null	null
00814	null	null	01559	null	null	null
00814	null	null	03970	null	null	null
00814	null	null	08937	null	null	null
00814	null	null	03734	null	null	null
00814	null	null	01696	null	null	null
00814	null	null	08874	null	null	null
00814	null	null	06183	null	null	null
00814	null	null	02308	null	null	null
00814	null	null	null	null	null	06607
00814	null	null	null	null	null	09987
00999	04	092	01696	null	080	null
00999	null	null	02101	null	null	null
00999	null	null	01859	null	null	null
00999	null	null	07896	null	null	null
00999	null	null	05270	null	null	null
00999	null	null	01323	null	null	null
00999	null	null	03597	null	null	null
00999	null	null	08733	null	null	null
00999	null	null	08054	null	null	null
00999	null	null	00939	null	null	null
00999	null	null	null	null	null	04393
00033	06	088	06566	null	000	null
00033	null	null	00673	null	null	null
00033	null	null	05492	null	null	null
00033	null	null	02013	null	null	null
00033	null	null	05928	null	null	null
00033	null	null	04037	null	null	null
00033	null	null	05481	null	null	null
00033	null	null	null	null	null	03463
00685	04	073	05578	null	081	null
00685	null	null	01696	null	null	null
00685	null	null	01571	null	null	null
00685	null	null	null	null	null	08805
00685	null	null	null	null	null	04570
00685	null	null	null	null	null	06688
00509	04	084	05383	null	032	null
00509	null	null	09206	null	null	null
00509	null	null	05481	null	null	null
00509	null	null	null	null	null	03730
00509	null	null	null	null	null	06741
00566	06	070	09454	null	047	null
00566	null	null	01221	null	null	null
00566	null	null	07646	null	null	null
00566	null	null	null	null	null	09974
00566	null	null	null	null	null	08774
00566	null	null	null	null	null	04642
00753	03	080	03455	null	084	null
00753	null	null	07693	null	null	null
00753	null	null	08316	null	null	null
00753	null	null	04614	null	null	null
00753	null	null	00422	null	null	null
00753	null	null	null	null	null	00114
00753	null	null	null	null	null	00676
00156	06	088	01896	null	084	null
00156	null	null	08999	null	null	null
00156	null	null	08987	null	null	null
00156	null	null	06410	null	null	null
00156	null	null	02499	null	null	null
00156	null	null	null	null	null	03639
00156	null	null	null	null	null	09919
00071	06	048	01376	null	048	null
00071	null	null	07372	null	null	null
00071	null	null	02961	null	null	null
00071	null	null	09393	null	null	null
00071	null	null	null	null	null	09446
00071	null	null	null	null	null	07362
00386	06	010	01571	null	032	null
00386	null	null	02955	null	null	null
00386	null	null	04440	null	null	null
00386	null	null	06005	null	null	null
00386	null	null	05042	null	null	null
00386	null	null	null	null	null	02770
00386	null	null	null	null	null	09458
00386	null	null	null	null	null	03763
00276	08	073	05219	null	051	null
00276	null	null	09040	null	null	null
00276	null	null	00308	null	null	null
00276	null	null	05677	null	null	null
00276	null	null	00308	null	null	null
00276	null	null	05343	null	null	null
00276	null	null	01559	null	null	null
00276	null	null	null	null	null	09137
00713	08	072	03597	null	083	null
00713	null	null	05383	null	null	null
00713	null	null	01863	null	null	null
00713	null	null	00308	null	null	null
00713	null	null	04228	null	null	null
00713	null	null	04711	null	null	null
00713	null	null	02806	null	null	null
00713	null	null	06518	null	null	null
00713	null	null	02265	null	null	null
00713	null	null	02444	null	null	null
00713	null	null	null	null	null	02051
00713	null	null	null	null	null	00134
00115	09	010	05232	null	080	null
00115	null	null	05492	null	null	null
00115	null	null	06328	null	null	null
00115	null	null	05928	null	null	null
00115	null	null	03251	null	null	null
00115	null	null	05677	null	null	null
00115	null	null	01859	null	null	null
00115	null	null	08331	null	null	null
00115	null	null	00468	null	null	null
00115	null	null	07844	null	null	null
00115	null	null	null	null	null	03699
00115	null	null	null	null	null	07953
00115	null	null	null	null	null	00295
00676	02	048	02499	null	006	null
00676	null	null	05341	null	null	null
00676	null	null	03455	null	null	null
00676	null	null	02961	null	null	null
00676	null	null	03294	null	null	null
00676	null	null	07405	null	null	null
00676	null	null	null	null	null	08349
00676	null	null	null	null	null	00659
00676	null	null	null	null	null	00096
00131	04	072	07742	null	081	null
00131	null	null	02415	null	null	null
00131	null	null	03129	null	null	null
00131	null	null	01583	null	null	null
00131	null	null	04433	null	null	null
00131	null	null	05769	null	null	null
00131	null	null	01362	null	null	null
00131	null	null	null	null	null	04090
00131	null	null	null	null	null	03563
00131	null	null	null	null	null	04242
00151	02	084	00939	null	047	null
00151	null	null	09884	null	null	null
00151	null	null	06326	null	null	null
00151	null	null	09206	null	null	null
00151	null	null	01559	null	null	null
00151	null	null	null	null	null	07426
00227	08	048	05343	null	066	null
00227	null	null	03647	null	null	null
00227	null	null	07742	null	null	null
00227	null	null	05938	null	null	null
00227	null	null	08962	null	null	null
00227	null	null	05315	null	null	null
00227	null	null	05938	null	null	null
00227	null	null	08869	null	null	null
00227	null	null	07372	null	null	null
00227	null	null	03926	null	null	null
00227	null	null	null	null	null	01215
00227	null	null	null	null	null	06705
00076	06	092	02612	null	058	null
00076	null	null	00308	null	null	null
00076	null	null	00384	null	null	null
00076	null	null	08054	null	null	null
00076	null	null	04228	null	null	null
00076	null	null	null	null	null	09458
00076	null	null	null	null	null	06607
00451	08	004	01859	null	084	null
00451	null	null	00687	null	null	null
00451	null	null	09902	null	null	null
00451	null	null	00396	null	null	null
00451	null	null	02101	null	null	null
00451	null	null	05219	null	null	null
00451	null	null	null	null	null	03729
00451	null	null	null	null	null	09845
00451	null	null	null	null	null	03886
00603	09	084	02101	null	053	null
00603	null	null	05042	null	null	null
00603	null	null	03818	null	null	null
00603	null	null	00945	null	null	null
00603	null	null	null	null	null	08774
00603	null	null	null	null	null	04980
00371	09	073	04968	null	068	null
00371	null	null	06901	null	null	null
00371	null	null	06780	null	null	null
00371	null	null	09206	null	null	null
00371	null	null	05492	null	null	null
00371	null	null	04850	null	null	null
00371	null	null	null	null	null	07817
00371	null	null	null	null	null	02998
00371	null	null	null	null	null	01838
00550	04	088	00209	null	066	null
00550	null	null	02961	null	null	null
00550	null	null	07742	null	null	null
00550	null	null	08193	null	null	null
00550	null	null	02869	null	null	null
00550	null	null	00246	null	null	null
00550	null	null	null	null	null	04411
00382	06	084	00422	null	032	null
00382	null	null	06410	null	null	null
00382	null	null	07405	null	null	null
00382	null	null	null	null	null	01163
00382	null	null	null	null	null	08591
00382	null	null	null	null	null	00096
00256	04	088	05769	null	053	null
00256	null	null	07448	null	null	null
00256	null	null	01415	null	null	null
00256	null	null	00673	null	null	null
00256	null	null	02955	null	null	null
00256	null	null	00318	null	null	null
00256	null	null	04037	null	null	null
00256	null	null	02444	null	null	null
00256	null	null	null	null	null	07604
00828	03	088	02444	null	053	null
00828	null	null	01376	null	null	null
00828	null	null	03647	null	null	null
00828	null	null	08869	null	null	null
00828	null	null	03497	null	null	null
00828	null	null	08987	null	null	null
00828	null	null	00635	null	null	null
00828	null	null	null	null	null	02409
00814	06	080	04778	null	032	null
00814	null	null	07125	null	null	null
00814	null	null	00625	null	null	null
00814	null	null	null	null	null	03172
00465	04	004	05492	null	034	null
00465	null	null	04170	null	null	null
00465	null	null	08733	null	null	null
00465	null	null	null	null	null	00676
00465	null	null	null	null	null	08805
00465	null	null	null	null	null	04642
00571	04	004	08054	null	000	null
00571	null	null	07742	null	null	null
00571	null	null	00703	null	null	null
00571	null	null	null	null	null	03172
00571	null	null	null	null	null	09689
00625	06	080	02013	null	048	null
00625	null	null	04711	null	null	null
00625	null	null	03251	null	null	null
00625	null	null	03392	null	null	null
00625	null	null	05270	null	null	null
00625	null	null	06326	null	null	null
00625	null	null	05928	null	null	null
00625	null	null	04711	null	null	null
00625	null	null	null	null	null	03888
00035	06	088	00308	null	084	null
00035	null	null	02013	null	null	null
00035	null	null	03201	null	null	null
00035	null	null	05787	null	null	null
00035	null	null	09685	null	null	null
00035	null	null	09721	null	null	null
00035	null	null	04004	null	null	null
00035	null	null	03294	null	null	null
00035	null	null	03970	null	null	null
00035	null	null	null	null	null	04901
00035	null	null	null	null	null	09291
00035	null	null	null	null	null	02822
00652	08	004	02961	null	032	null
00652	null	null	08193	null	null	null
00652	null	null	03597	null	null	null
00652	null	null	06518	null	null	null
00652	null	null	09721	null	null	null
00652	null	null	07693	null	null	null
00652	null	null	05270	null	null	null
00652	null	null	02444	null	null	null
00652	null	null	null	null	null	09716
00589	03	080	01696	null	084	null
00589	null	null	05270	null	null	null
00589	null	null	02872	null	null	null
00589	null	null	03497	null	null	null
00589	null	null	09197	null	null	null
00589	null	null	01696	null	null	null
00589	null	null	null	null	null	04219
00589	null	null	null	null	null	09502
00589	null	null	null	null	null	00015
00819	06	073	08962	null	053	null
00819	null	null	02955	null	null	null
00819	null	null	06326	null	null	null
00819	null	null	00384	null	null	null
00819	null	null	null	null	null	09987
00814	06	088	05928	null	058	null
00814	null	null	01376	null	null	null
00814	null	null	07372	null	null	null
00814	null	null	04968	null	null	null
00814	null	null	null	null	null	08618
00814	null	null	null	null	null	05117
00729	08	004	08742	null	058	null
00729	null	null	04016	null	null	null
00729	null	null	03251	null	null	null
00729	null	null	09393	null	null	null
00729	null	null	null	null	null	06056
00072	06	092	06328	null	084	null
00072	null	null	07125	null	null	null
00072	null	null	01376	null	null	null
00072	null	null	09403	null	null	null
00072	null	null	06901	null	null	null
00072	null	null	08886	null	null	null
00072	null	null	07488	null	null	null
00072	null	null	null	null	null	05688
00585	02	072	00396	null	034	null
00585	null	null	02579	null	null	null
00585	null	null	07886	null	null	null
00585	null	null	03132	null	null	null
00585	null	null	null	null	null	03563
00585	null	null	null	null	null	05770
00585	null	null	null	null	null	00627
00284	03	048	03392	null	047	null
00284	null	null	06183	null	null	null
00284	null	null	05818	null	null	null
00284	null	null	00939	null	null	null
00284	null	null	null	null	null	09716
00906	06	072	03572	null	068	null
00906	null	null	03647	null	null	null
00906	null	null	09437	null	null	null
00906	null	null	05492	null	null	null
00906	null	null	05315	null	null	null
00906	null	null	null	null	null	00029
00987	04	092	08455	null	047	null
00987	null	null	05769	null	null	null
00987	null	null	07125	null	null	null
00987	null	null	05219	null	null	null
00987	null	null	04351	null	null	null
00987	null	null	00939	null	null	null
00987	null	null	02961	null	null	null
00987	null	null	04433	null	null	null
00987	null	null	01350	null	null	null
00987	null	null	09902	null	null	null
00987	null	null	null	null	null	08805
00987	null	null	null	null	null	03685
00987	null	null	null	null	null	04242
00910	02	080	03129	null	053	null
00910	null	null	02987	null	null	null
00910	null	null	03853	null	null	null
00910	null	null	05167	null	null	null
00910	null	null	08742	null	null	null
00910	null	null	02308	null	null	null
00910	null	null	null	null	null	05117
00910	null	null	null	null	null	04947
00365	08	073	01696	null	053	null
00365	null	null	05953	null	null	null
00365	null	null	06328	null	null	null
00365	null	null	09249	null	null	null
00365	null	null	null	null	null	02967
00632	09	073	05677	null	053	null
00632	null	null	03246	null	null	null
00632	null	null	05219	null	null	null
00632	null	null	03246	null	null	null
00632	null	null	07693	null	null	null
00632	null	null	09990	null	null	null
00632	null	null	02415	null	null	null
00632	null	null	09249	null	null	null
00632	null	null	00709	null	null	null
00632	null	null	09423	null	null	null
00632	null	null	null	null	null	08591
00632	null	null	null	null	null	08618
00696	06	073	01859	null	032	null
00696	null	null	00939	null	null	null
00696	null	null	08987	null	null	null
00696	null	null	null	null	null	03763
00349	09	072	08742	null	032	null
00349	null	null	04170	null	null	null
00349	null	null	09206	null	null	null
00349	null	null	null	null	null	04642
00061	06	070	03970	null	066	null
00061	null	null	03818	null	null	null
00061	null	null	02308	null	null	null
00061	null	null	06328	null	null	null
00061	null	null	03392	null	null	null
00061	null	null	03647	null	null	null
00061	null	null	05769	null	null	null
00061	null	null	01308	null	null	null
00061	null	null	03050	null	null	null
00061	null	null	08742	null	null	null
00061	null	null	null	null	null	00274
00061	null	null	null	null	null	01717
00567	04	010	01859	null	006	null
00567	null	null	05042	null	null	null
00567	null	null	01399	null	null	null
00567	null	null	04124	null	null	null
00567	null	null	01323	null	null	null
00567	null	null	04614	null	null	null
00567	null	null	08316	null	null	null
00567	null	null	02101	null	null	null
00567	null	null	null	null	null	02861
00078	08	080	09393	null	058	null
00078	null	null	08733	null	null	null
00078	null	null	09197	null	null	null
00078	null	null	07896	null	null	null
00078	null	null	00845	null	null	null
00078	null	null	05982	null	null	null
00078	null	null	09403	null	null	null
00078	null	null	02955	null	null	null
00078	null	null	01508	null	null	null
00078	null	null	null	null	null	01956
00078	null	null	null	null	null	01156
00334	04	084	01399	null	068	null
00334	null	null	08455	null	null	null
00334	null	null	00845	null	null	null
00334	null	null	09721	null	null	null
00334	null	null	00422	null	null	null
00334	null	null	02987	null	null	null
00334	null	null	05270	null	null	null
00334	null	null	00945	null	null	null
00334	null	null	08987	null	null	null
00334	null	null	null	null	null	08903
00334	null	null	null	null	null	03888
00438	02	080	00845	null	081	null
00438	null	null	05383	null	null	null
00438	null	null	09279	null	null	null
00438	null	null	null	null	null	02770
00438	null	null	null	null	null	02531
00438	null	null	null	null	null	05461
00197	03	080	03734	null	066	null
00197	null	null	05492	null	null	null
00197	null	null	03455	null	null	null
00197	null	null	07646	null	null	null
00197	null	null	04344	null	null	null
00197	null	null	08054	null	null	null
00197	null	null	00625	null	null	null
00197	null	null	03201	null	null	null
00197	null	null	05769	null	null	null
00197	null	null	null	null	null	03491
00197	null	null	null	null	null	02328
00067	04	010	01199	null	000	null
00067	null	null	09403	null	null	null
00067	null	null	00939	null	null	null
00067	null	null	06312	null	null	null
00067	null	null	09454	null	null	null
00067	null	null	03864	null	null	null
00067	null	null	04124	null	null	null
00067	null	null	null	null	null	06871
00067	null	null	null	null	null	05511
00067	null	null	null	null	null	09845
00083	09	010	07372	null	084	null
00083	null	null	06518	null	null	null
00083	null	null	05787	null	null	null
00083	null	null	07448	null	null	null
00083	null	null	03201	null	null	null
00083	null	null	00709	null	null	null
00083	null	null	05492	null	null	null
00083	null	null	04016	null	null	null
00083	null	null	null	null	null	07115
00083	null	null	null	null	null	04048
00777	08	072	00313	null	083	null
00777	null	null	01176	null	null	null
00777	null	null	08793	null	null	null
00777	null	null	02955	null	null	null
00777	null	null	03294	null	null	null
00777	null	null	01199	null	null	null
00777	null	null	null	null	null	09689
00973	02	084	01863	null	099	null
00973	null	null	03246	null	null	null
00973	null	null	02872	null	null	null
00973	null	null	null	null	null	08349
00096	02	010	00116	null	058	null
00096	null	null	04351	null	null	null
00096	null	null	08547	null	null	null
00096	null	null	05315	null	null	null
00096	null	null	01399	null	null	null
00096	null	null	01221	null	null	null
00096	null	null	00687	null	null	null
00096	null	null	04028	null	null	null
00096	null	null	02987	null	null	null
00096	null	null	03970	null	null	null
00096	null	null	null	null	null	05482
00202	02	004	04303	null	051	null
00202	null	null	04711	null	null	null
00202	null	null	08987	null	null	null
00202	null	null	04433	null	null	null
00202	null	null	00116	null	null	null
00202	null	null	00703	null	null	null
00202	null	null	08316	null	null	null
00202	null	null	08237	null	null	null
00202	null	null	01583	null	null	null
00202	null	null	08547	null	null	null
00202	null	null	null	null	null	03841
00880	08	070	09393	null	034	null
00880	null	null	02955	null	null	null
00880	null	null	05232	null	null	null
00880	null	null	06183	null	null	null
00880	null	null	08408	null	null	null
00880	null	null	01362	null	null	null
00880	null	null	null	null	null	05482
00880	null	null	null	null	null	01282
00380	09	088	00673	null	084	null
00380	null	null	05982	null	null	null
00380	null	null	08455	null	null	null
00380	null	null	07854	null	null	null
00380	null	null	null	null	null	00131
00380	null	null	null	null	null	07247
00380	null	null	null	null	null	08162
00515	06	088	03853	null	051	null
00515	null	null	08742	null	null	null
00515	null	null	08237	null	null	null
00515	null	null	01399	null	null	null
00515	null	null	04711	null	null	null
00515	null	null	null	null	null	05688
00433	04	010	01221	null	081	null
00433	null	null	02806	null	null	null
00433	null	null	02499	null	null	null
00433	null	null	05232	null	null	null
00433	null	null	null	null	null	09794
00997	06	084	06473	null	058	null
00997	null	null	08547	null	null	null
00997	null	null	03392	null	null	null
00997	null	null	05315	null	null	null
00997	null	null	null	null	null	04028
00997	null	null	null	null	null	00029
00062	06	004	05787	null	084	null
00062	null	null	03597	null	null	null
00062	null	null	07693	null	null	null
00062	null	null	08193	null	null	null
00062	null	null	null	null	null	07483
00062	null	null	null	null	null	06756
00607	08	004	08742	null	053	null
00607	null	null	03455	null	null	null
00607	null	null	01383	null	null	null
00607	null	null	03572	null	null	null
00607	null	null	02791	null	null	null
00607	null	null	02536	null	null	null
00607	null	null	00313	null	null	null
00607	null	null	09173	null	null	null
00607	null	null	06326	null	null	null
00607	null	null	04614	null	null	null
00607	null	null	null	null	null	00172
00741	06	073	06255	null	083	null
00741	null	null	09197	null	null	null
00741	null	null	04968	null	null	null
00741	null	null	05769	null	null	null
00741	null	null	03913	null	null	null
00741	null	null	00308	null	null	null
00741	null	null	01308	null	null	null
00741	null	null	00302	null	null	null
00741	null	null	08886	null	null	null
00741	null	null	null	null	null	01116
00741	null	null	null	null	null	09689
00741	null	null	null	null	null	08247
00431	08	072	00318	null	068	null
00431	null	null	03201	null	null	null
00431	null	null	06780	null	null	null
00431	null	null	05219	null	null	null
00431	null	null	08869	null	null	null
00431	null	null	01221	null	null	null
00431	null	null	null	null	null	09744
00431	null	null	null	null	null	00114
00431	null	null	null	null	null	06741
00431	04	004	09206	null	068	null
00431	null	null	05938	null	null	null
00431	null	null	02308	null	null	null
00431	null	null	02536	null	null	null
00431	null	null	01308	null	null	null
00431	null	null	03818	null	null	null
00431	null	null	06518	null	null	null
00431	null	null	04228	null	null	null
00431	null	null	null	null	null	03707
00431	null	null	null	null	null	07211
00431	null	null	null	null	null	07858
00006	02	084	00302	null	084	null
00006	null	null	02101	null	null	null
00006	null	null	06326	null	null	null
00006	null	null	00384	null	null	null
00006	null	null	01199	null	null	null
00006	null	null	07718	null	null	null
00006	null	null	09884	null	null	null
00006	null	null	null	null	null	07729
00006	null	null	null	null	null	08591
00945	06	072	03251	null	051	null
00945	null	null	06005	null	null	null
00945	null	null	09393	null	null	null
00945	null	null	06005	null	null	null
00945	null	null	07844	null	null	null
00945	null	null	05270	null	null	null
00945	null	null	06901	null	null	null
00945	null	null	02659	null	null	null
00945	null	null	null	null	null	02822
00017	02	070	03246	null	080	null
00017	null	null	03201	null	null	null
00017	null	null	04968	null	null	null
00017	null	null	08937	null	null	null
00017	null	null	09685	null	null	null
00017	null	null	03246	null	null	null
00017	null	null	null	null	null	03463
00017	null	null	null	null	null	07604
00017	null	null	null	null	null	03910
00497	06	088	00845	null	068	null
00497	null	null	01399	null	null	null
00497	null	null	05270	null	null	null
00497	null	null	09454	null	null	null
00497	null	null	00308	null	null	null
00497	null	null	00687	null	null	null
00497	null	null	00302	null	null	null
00497	null	null	02961	null	null	null
00497	null	null	09902	null	null	null
00497	null	null	null	null	null	06111
00497	null	null	null	null	null	06688
00497	null	null	null	null	null	08643
00719	08	092	09884	null	066	null
00719	null	null	03050	null	null	null
00719	null	null	01376	null	null	null
00719	null	null	01859	null	null	null
00719	null	null	09721	null	null	null
00719	null	null	05001	null	null	null
00719	null	null	00939	null	null	null
00719	null	null	03246	null	null	null
00719	null	null	05208	null	null	null
00719	null	null	null	null	null	03699
00719	null	null	null	null	null	05437
00719	null	null	null	null	null	01163
00900	06	088	09249	null	099	null
00900	null	null	03626	null	null	null
00900	null	null	04028	null	null	null
00900	null	null	08547	null	null	null
00900	null	null	null	null	null	07931
00900	null	null	null	null	null	04901
00279	02	084	05938	null	017	null
00279	null	null	07646	null	null	null
00279	null	null	04344	null	null	null
00279	null	null	05046	null	null	null
00279	null	null	02659	null	null	null
00279	null	null	null	null	null	03162
00279	null	null	null	null	null	07668
00279	null	null	null	null	null	07863
00138	06	004	01199	null	099	null
00138	null	null	01559	null	null	null
00138	null	null	07844	null	null	null
00138	null	null	03647	null	null	null
00138	null	null	null	null	null	00687
00976	02	088	02869	null	090	null
00976	null	null	01559	null	null	null
00976	null	null	01176	null	null	null
00976	null	null	01508	null	null	null
00976	null	null	07718	null	null	null
00976	null	null	01052	null	null	null
00976	null	null	07646	null	null	null
00976	null	null	03818	null	null	null
00976	null	null	null	null	null	02643
00213	08	072	08937	null	068	null
00213	null	null	03181	null	null	null
00213	null	null	00118	null	null	null
00213	null	null	01176	null	null	null
00213	null	null	03626	null	null	null
00213	null	null	null	null	null	09716
00213	null	null	null	null	null	00015
00213	null	null	null	null	null	08774
